integer-1,integer-1,integer-1,integer-1,decimal-1,decimal-1,decimal-1,decimal-1,varchar-4,varchar-4,date-1,date-1,date-1,varchar-28,varchar-12,varchar-48
2304,480,81,3,3,4141.44,0.00,0.05,R,F,1994-03-19,1994-03-04,1994-03-20,DELIVER IN PERSON        ,AIR       ,l excuses after the ev
2306,1754,81,7,19,31459.25,0.07,0.01,N,O,1995-11-17,1995-09-06,1995-11-30,DELIVER IN PERSON        ,AIR       ,tainments nag furiously carefull
2307,334,63,3,7,8640.31,0.07,0.04,R,F,1993-08-03,1993-09-04,1993-08-28,DELIVER IN PERSON        ,AIR       ,ven instructions wake fluffily 
2342,268,96,5,22,25701.72,0.08,0.01,N,O,1996-08-10,1996-08-02,1996-08-31,DELIVER IN PERSON        ,AIR       ,s. ironic 
2466,1047,83,2,10,9480.40,0.00,0.00,A,F,1994-05-08,1994-04-06,1994-06-05,DELIVER IN PERSON        ,AIR       ,"sly regular deposits. regular, regula"
2470,1611,12,4,30,45378.30,0.04,0.08,N,O,1997-08-04,1997-07-13,1997-08-14,DELIVER IN PERSON        ,AIR       ,s across the furiously fina
2531,1478,96,1,9,12415.23,0.03,0.07,N,O,1996-07-27,1996-07-03,1996-08-01,DELIVER IN PERSON        ,AIR       ,"t the dogged, un"
2563,644,76,1,10,15446.40,0.07,0.04,A,F,1994-01-26,1993-12-19,1994-01-28,DELIVER IN PERSON        ,AIR       ,tealthily abo
2624,625,88,1,15,22884.30,0.03,0.07,N,O,1997-02-28,1997-02-19,1997-03-21,DELIVER IN PERSON        ,AIR       ,le. quickly pending requests
2659,62,38,5,9,8658.54,0.08,0.03,A,F,1994-02-07,1994-03-17,1994-03-04,DELIVER IN PERSON        ,AIR       ,ly final packages sleep ac
2753,309,38,4,7,8465.10,0.07,0.03,R,F,1994-02-11,1994-01-22,1994-03-10,DELIVER IN PERSON        ,AIR       ,xpress ideas detect b
2757,728,61,3,17,27688.24,0.10,0.04,N,O,1995-09-06,1995-09-27,1995-09-22,DELIVER IN PERSON        ,AIR       ,er the furiously silent 
2784,536,37,2,23,33040.19,0.03,0.05,N,O,1998-03-28,1998-02-07,1998-04-17,DELIVER IN PERSON        ,AIR       ,uests lose after 
2788,1762,63,1,16,26620.16,0.06,0.06,A,F,1994-10-04,1994-11-25,1994-10-18,DELIVER IN PERSON        ,AIR       , requests wake carefully. carefully si
2791,287,69,7,26,30869.28,0.06,0.03,R,F,1995-02-06,1994-12-07,1995-02-23,DELIVER IN PERSON        ,AIR       ,uriously special instructio
2982,1120,57,1,21,21443.52,0.00,0.01,A,F,1995-04-03,1995-06-08,1995-04-18,DELIVER IN PERSON        ,AIR       ,ironic deposits. furiously ex
3073,1940,29,1,16,29471.04,0.07,0.01,R,F,1994-03-02,1994-03-23,1994-03-31,DELIVER IN PERSON        ,AIR       ,n requests. ironi
3142,1193,66,1,15,16412.85,0.03,0.08,R,F,1992-08-15,1992-08-18,1992-08-22,DELIVER IN PERSON        ,AIR       ,instructions are. ironic packages doz
3174,1853,97,1,6,10529.10,0.04,0.08,N,O,1996-03-13,1996-02-09,1996-03-22,DELIVER IN PERSON        ,AIR       , furiously ironic
3200,1160,69,1,17,18039.72,0.10,0.00,N,O,1996-06-06,1996-04-21,1996-06-14,DELIVER IN PERSON        ,AIR       ,side of the furiously pendin
3234,833,33,2,23,39878.09,0.03,0.00,N,O,1996-05-29,1996-05-15,1996-06-17,DELIVER IN PERSON        ,AIR       ,d-- fluffily special packag
3238,717,18,1,12,19412.52,0.06,0.01,R,F,1993-03-06,1993-05-08,1993-04-01,DELIVER IN PERSON        ,AIR       ,ackages affix furiously. furiously bol
3271,565,56,1,30,43966.80,0.01,0.04,A,F,1992-01-16,1992-03-20,1992-01-17,DELIVER IN PERSON        ,AIR       ,r the unusual Tiresia
3366,398,99,1,4,5193.56,0.07,0.01,N,O,1997-05-20,1997-06-25,1997-06-03,DELIVER IN PERSON        ,AIR       , carefully about 
3396,1376,15,3,9,11496.33,0.01,0.06,R,F,1994-07-01,1994-08-18,1994-07-21,DELIVER IN PERSON        ,AIR       ,usly special foxes. accounts wake careful
3521,1440,19,4,26,34877.44,0.02,0.08,R,F,1993-01-04,1993-01-20,1993-01-17,DELIVER IN PERSON        ,AIR       ,onic dependencies haggle. fur
3585,246,28,5,13,14901.12,0.06,0.07,R,F,1995-03-15,1995-01-22,1995-03-17,DELIVER IN PERSON        ,AIR       ,ccording to the foxes. slyly iro
3618,1605,6,4,26,39171.60,0.01,0.05,N,O,1998-03-23,1998-01-24,1998-04-15,DELIVER IN PERSON        ,AIR       ,iously regular deposits cajole ruthless
3650,1864,65,5,19,33551.34,0.05,0.04,R,F,1992-08-29,1992-08-09,1992-09-21,DELIVER IN PERSON        ,AIR       ,y even forges. fluffily furious accounts
3655,967,36,2,1,1867.96,0.10,0.06,R,F,1992-10-24,1992-12-18,1992-11-07,DELIVER IN PERSON        ,AIR       ,arefully slow pinto beans are
3713,1770,13,2,19,31763.63,0.04,0.04,N,O,1998-06-25,1998-07-24,1998-07-08,DELIVER IN PERSON        ,AIR       ,tructions serve blithely around the furi
3779,1091,27,2,5,4960.45,0.07,0.03,N,O,1997-01-07,1997-03-26,1997-02-05,DELIVER IN PERSON        ,AIR       ,heodolites. slyly regular a
3814,1727,70,2,14,22802.08,0.01,0.00,R,F,1995-03-17,1995-05-10,1995-04-16,DELIVER IN PERSON        ,AIR       ,"sits along the final, ironic deposit"
3841,1569,10,1,1,1470.56,0.06,0.03,A,F,1994-10-10,1994-11-12,1994-10-21,DELIVER IN PERSON        ,AIR       , boost even re
3843,5,31,2,30,27150.00,0.01,0.05,N,O,1997-02-14,1997-03-25,1997-03-13,DELIVER IN PERSON        ,AIR       , wake. slyly even packages boost 
3905,1160,97,2,7,7428.12,0.03,0.00,R,F,1994-03-01,1994-02-19,1994-03-11,DELIVER IN PERSON        ,AIR       ,ully furiously furious packag
4067,956,91,6,12,22283.40,0.04,0.03,A,F,1992-12-12,1992-11-28,1992-12-15,DELIVER IN PERSON        ,AIR       ,lly slyly even theodol
4227,1993,26,4,2,3789.98,0.02,0.05,R,F,1995-04-24,1995-05-09,1995-05-21,DELIVER IN PERSON        ,AIR       ,ep. specia
4294,1050,86,1,19,18069.95,0.03,0.04,A,F,1992-10-16,1992-11-13,1992-10-26,DELIVER IN PERSON        ,AIR       ,nt dependencies. furiously regular ideas d
4295,1927,28,3,3,5486.76,0.04,0.00,N,O,1996-06-04,1996-04-24,1996-06-24,DELIVER IN PERSON        ,AIR       ,telets cajole bravely
4327,201,56,4,8,8809.60,0.04,0.08,N,F,1995-05-26,1995-05-28,1995-06-19,DELIVER IN PERSON        ,AIR       ,eodolites cajole; unusual Tiresias
4419,1318,95,3,6,7315.86,0.02,0.08,N,O,1996-06-25,1996-09-04,1996-07-20,DELIVER IN PERSON        ,AIR       ,ts wake slyly final dugou
4513,1914,47,4,13,23606.83,0.08,0.08,N,O,1996-04-12,1996-05-19,1996-04-25,DELIVER IN PERSON        ,AIR       ,"l, final excuses detect furi"
4583,1218,56,6,14,15668.94,0.09,0.01,R,F,1994-11-17,1994-11-08,1994-11-21,DELIVER IN PERSON        ,AIR       ,detect. doggedly regular pi
4610,1462,63,5,29,39540.34,0.08,0.04,R,F,1993-08-09,1993-07-27,1993-08-16,DELIVER IN PERSON        ,AIR       ," foxes. special, express package"
4615,913,48,1,10,18139.10,0.02,0.08,A,F,1993-11-20,1993-10-05,1993-12-08,DELIVER IN PERSON        ,AIR       ,sits. slyly express deposits are
4640,873,73,2,9,15964.83,0.03,0.05,N,O,1996-02-12,1996-02-14,1996-02-29,DELIVER IN PERSON        ,AIR       , accounts. unu
4709,244,45,1,25,28606.00,0.03,0.05,N,O,1996-02-21,1996-02-11,1996-03-17,DELIVER IN PERSON        ,AIR       ,deposits grow. fluffily unusual accounts 
4736,1956,89,1,26,48306.70,0.03,0.03,N,O,1996-02-02,1996-01-18,1996-02-09,DELIVER IN PERSON        ,AIR       ,efully speci
4743,336,37,4,27,33380.91,0.08,0.05,R,F,1993-07-26,1993-05-27,1993-08-24,DELIVER IN PERSON        ,AIR       ,aids use. express deposits
4772,869,70,1,1,1769.86,0.10,0.00,R,F,1994-11-13,1994-10-25,1994-11-15,DELIVER IN PERSON        ,AIR       ,ans. slyly even acc
4869,1561,62,3,25,36564.00,0.00,0.05,R,F,1994-11-25,1994-11-14,1994-12-19,DELIVER IN PERSON        ,AIR       ,e according t
4871,1606,30,2,17,25629.20,0.07,0.03,N,O,1995-09-09,1995-09-01,1995-10-02,DELIVER IN PERSON        ,AIR       ,es. carefully ev
4934,1371,72,5,29,36898.73,0.09,0.03,N,O,1997-04-10,1997-05-05,1997-05-04,DELIVER IN PERSON        ,AIR       ,aggle furiously among the busily final re
4964,1426,27,3,18,23893.56,0.00,0.06,N,O,1997-10-13,1997-09-01,1997-11-10,DELIVER IN PERSON        ,AIR       , platelets. furio
5027,1428,29,5,3,3988.26,0.03,0.06,N,O,1997-09-30,1997-11-26,1997-10-05,DELIVER IN PERSON        ,AIR       ,t the even mu
5031,500,1,1,15,21007.50,0.02,0.05,R,F,1995-04-01,1995-02-24,1995-04-12,DELIVER IN PERSON        ,AIR       ,yly pending theodolites.
5056,1964,97,2,19,35453.24,0.04,0.00,N,O,1997-03-24,1997-05-05,1997-04-23,DELIVER IN PERSON        ,AIR       ,c theodolites. ironic a
5060,1603,4,3,15,22569.00,0.06,0.01,A,F,1992-08-28,1992-08-20,1992-09-01,DELIVER IN PERSON        ,AIR       ,ular deposits sl
5062,747,48,2,4,6590.96,0.02,0.02,R,F,1993-02-06,1992-12-14,1993-03-03,DELIVER IN PERSON        ,AIR       ,ke furiously express theodolites. 
5095,1228,66,3,28,31618.16,0.01,0.04,A,F,1992-06-20,1992-06-27,1992-06-22,DELIVER IN PERSON        ,AIR       , into the final courts. ca
5122,441,42,3,12,16097.28,0.07,0.03,N,O,1996-04-02,1996-04-27,1996-04-10,DELIVER IN PERSON        ,AIR       ,lar instructions 
5153,679,11,3,30,47390.10,0.09,0.01,N,O,1995-11-10,1995-11-14,1995-11-16,DELIVER IN PERSON        ,AIR       ,beans sleep bl
5188,1176,13,1,18,19389.06,0.04,0.03,N,O,1995-06-19,1995-05-19,1995-06-25,DELIVER IN PERSON        ,AIR       ,p according to the sometimes regu
5348,167,68,3,16,17074.56,0.06,0.08,N,O,1998-02-28,1997-12-25,1998-03-12,DELIVER IN PERSON        ,AIR       ,uriously thin pinto beans 
5409,1934,67,1,27,49570.11,0.01,0.02,A,F,1992-02-14,1992-03-18,1992-02-23,DELIVER IN PERSON        ,AIR       ,eodolites 
5409,1404,22,3,17,22191.80,0.07,0.00,A,F,1992-01-13,1992-04-05,1992-01-20,DELIVER IN PERSON        ,AIR       ,cross the sil
5409,5,81,4,9,8145.00,0.07,0.03,A,F,1992-02-15,1992-04-02,1992-02-28,DELIVER IN PERSON        ,AIR       ," unusual, unusual reques"
5409,640,72,6,14,21568.96,0.03,0.08,R,F,1992-02-14,1992-03-26,1992-02-29,DELIVER IN PERSON        ,AIR       ,osits cajole furiously
5504,672,35,1,4,6290.68,0.10,0.07,A,F,1993-04-30,1993-03-01,1993-05-22,DELIVER IN PERSON        ,AIR       ,into beans boost. 
5505,1547,28,3,10,14485.40,0.06,0.01,N,O,1997-10-28,1997-11-27,1997-10-29,DELIVER IN PERSON        ,AIR       , furiously special asym
5633,459,60,3,27,36705.15,0.03,0.02,N,O,1998-09-28,1998-07-28,1998-10-12,DELIVER IN PERSON        ,AIR       ,ructions. even ideas haggle carefully r
5665,50,76,2,14,13300.70,0.02,0.00,R,F,1993-06-29,1993-09-16,1993-07-16,DELIVER IN PERSON        ,AIR       ,- special pinto beans sleep quickly blithel
5671,1195,68,1,25,27404.75,0.00,0.08,N,O,1998-04-17,1998-03-28,1998-05-06,DELIVER IN PERSON        ,AIR       ,cording to the quickly final requests-- 
5699,1901,34,6,30,54087.00,0.08,0.05,R,F,1992-11-13,1992-10-01,1992-12-11,DELIVER IN PERSON        ,AIR       , the carefully final 
5764,1872,2,3,4,7095.48,0.03,0.05,A,F,1993-10-25,1993-12-23,1993-11-06,DELIVER IN PERSON        ,AIR       ,ily regular courts haggle
5829,780,81,7,27,45381.06,0.08,0.04,N,O,1997-02-25,1997-03-31,1997-03-03,DELIVER IN PERSON        ,AIR       ,ns about the excuses are c
5859,88,64,2,17,16797.36,0.03,0.03,N,O,1997-05-15,1997-06-30,1997-05-26,DELIVER IN PERSON        ,AIR       ,ly ironic requests. quickly unusual pin
5895,1992,93,5,20,37879.80,0.07,0.00,N,O,1997-04-30,1997-02-07,1997-05-08,DELIVER IN PERSON        ,AIR       ,gular deposits wake blithely carefully fin
6022,1170,43,3,9,9640.53,0.05,0.08,A,F,1995-02-20,1995-05-14,1995-03-02,DELIVER IN PERSON        ,AIR       ,s. packages detect furiously abou
6055,1053,54,3,9,8586.45,0.10,0.02,N,O,1997-02-25,1996-12-29,1997-03-13,DELIVER IN PERSON        ,AIR       ,ely furiously ironi
6082,975,78,2,2,3751.94,0.04,0.08,N,O,1996-05-31,1996-04-12,1996-06-13,DELIVER IN PERSON        ,AIR       , the packages. express deposits affix
6118,223,51,1,23,25834.06,0.07,0.07,N,O,1997-06-01,1997-06-19,1997-06-13,DELIVER IN PERSON        ,AIR       ,ies. packages among t
6151,1146,47,2,6,6282.84,0.10,0.00,A,F,1993-10-22,1993-08-30,1993-11-11,DELIVER IN PERSON        ,AIR       ,ptotes cajole foxes; furiously un
6177,1183,56,2,8,8673.44,0.08,0.07,N,O,1997-07-10,1997-09-07,1997-07-26,DELIVER IN PERSON        ,AIR       , slyly unusua
6210,453,83,4,1,1353.45,0.07,0.03,N,O,1996-11-26,1997-01-28,1996-12-04,DELIVER IN PERSON        ,AIR       ,quests slee
6246,456,86,6,17,23059.65,0.01,0.08,A,F,1995-01-06,1994-12-31,1995-02-02,DELIVER IN PERSON        ,AIR       ,ully regular depo
6274,1091,62,6,22,21825.98,0.03,0.01,N,O,1995-09-23,1995-09-13,1995-10-01,DELIVER IN PERSON        ,AIR       ,eodolites are carefully fluffily pendi
6339,1473,74,4,6,8246.82,0.03,0.04,A,F,1993-03-16,1993-01-23,1993-03-30,DELIVER IN PERSON        ,AIR       ,. finally pending requests hinder furiously
6469,1990,23,3,18,34055.82,0.02,0.05,N,O,1996-04-09,1996-05-25,1996-04-26,DELIVER IN PERSON        ,AIR       ,osits. thin
6470,1847,77,7,9,15739.56,0.01,0.05,N,O,1996-01-09,1995-11-28,1996-01-20,DELIVER IN PERSON        ,AIR       , across the slyly silent
6496,1301,78,6,12,14427.60,0.05,0.03,N,O,1995-10-16,1995-07-31,1995-11-07,DELIVER IN PERSON        ,AIR       ,ic packages-- furiously 
6533,1940,85,1,20,36838.80,0.09,0.07,N,O,1998-04-19,1998-04-19,1998-05-05,DELIVER IN PERSON        ,AIR       ,fluffily even requests haggle furiou
6562,281,82,3,20,23625.60,0.04,0.04,R,F,1995-01-03,1995-03-03,1995-01-28,DELIVER IN PERSON        ,AIR       ,p furiously
6628,1359,74,4,27,34029.45,0.06,0.06,A,F,1994-07-14,1994-06-05,1994-07-15,DELIVER IN PERSON        ,AIR       , packages cajole fluffily according to 
6661,1025,61,2,15,13890.30,0.02,0.01,A,F,1993-07-06,1993-05-20,1993-07-30,DELIVER IN PERSON        ,AIR       ,e slyly slyly ironic deposits. carefully
6724,570,31,3,17,24999.69,0.07,0.03,N,O,1995-11-10,1995-12-23,1995-11-11,DELIVER IN PERSON        ,AIR       ,ully regular acco
6727,108,9,1,28,28226.80,0.09,0.03,R,F,1994-11-03,1994-11-15,1994-12-01,DELIVER IN PERSON        ,AIR       ,hely ironic excuses wake fluffi
6785,1369,84,1,9,11433.24,0.05,0.07,A,F,1992-05-18,1992-07-19,1992-05-22,DELIVER IN PERSON        ,AIR       ,y bold account
6816,218,19,1,20,22364.20,0.01,0.02,N,O,1998-05-21,1998-03-19,1998-06-13,DELIVER IN PERSON        ,AIR       ,y regular pinto beans
6822,396,97,7,4,5185.56,0.04,0.04,N,O,1997-09-20,1997-09-09,1997-10-18,DELIVER IN PERSON        ,AIR       , slyly. theodolites wake
6850,1766,93,3,21,35022.96,0.10,0.00,A,F,1993-02-22,1993-05-05,1993-02-23,DELIVER IN PERSON        ,AIR       ,fluffily across the qu
6886,1086,57,3,9,8883.72,0.06,0.03,R,F,1992-04-12,1992-03-17,1992-04-17,DELIVER IN PERSON        ,AIR       ,thely above th
6919,1490,91,4,22,30612.78,0.09,0.04,N,O,1998-07-05,1998-06-04,1998-07-26,DELIVER IN PERSON        ,AIR       ,es cajole across the quickly
6948,1705,6,4,24,38560.80,0.07,0.02,R,F,1994-01-20,1994-01-21,1994-01-29,DELIVER IN PERSON        ,AIR       ,accounts. ironic the
7014,1159,68,4,21,22263.15,0.06,0.05,N,O,1996-07-18,1996-07-26,1996-08-11,DELIVER IN PERSON        ,AIR       ,c requests haggle slyly platelets-- sp
7075,1691,15,5,16,25483.04,0.01,0.07,N,O,1995-11-21,1995-12-12,1995-12-05,DELIVER IN PERSON        ,AIR       ,ironically final requests a
7237,1057,63,2,23,22035.15,0.05,0.06,N,O,1998-05-13,1998-02-22,1998-05-14,DELIVER IN PERSON        ,AIR       ,"ic, ironic ideas. s"
7271,1257,32,4,8,9266.00,0.10,0.06,N,O,1998-10-06,1998-10-16,1998-11-04,DELIVER IN PERSON        ,AIR       , requests haggle. quiet deposits run blith
7303,1848,49,2,23,40246.32,0.01,0.04,A,F,1993-07-01,1993-08-23,1993-07-11,DELIVER IN PERSON        ,AIR       ,ourts above the bold multipliers sleep afte
7331,423,11,1,22,29115.24,0.00,0.05,N,O,1996-08-26,1996-08-28,1996-09-13,DELIVER IN PERSON        ,AIR       ,y pending deposits. final deposits after
7363,1294,32,2,18,21515.22,0.09,0.01,R,F,1994-01-03,1994-01-04,1994-01-29,DELIVER IN PERSON        ,AIR       ,e accounts. slyly quick instr
7463,1981,70,5,15,28244.70,0.03,0.06,N,O,1997-09-27,1997-09-14,1997-10-17,DELIVER IN PERSON        ,AIR       ,ickly ironic packages! theodolites u
7492,355,12,1,17,21340.95,0.05,0.02,N,O,1996-08-09,1996-08-26,1996-08-29,DELIVER IN PERSON        ,AIR       ,blithely bus
7584,1518,99,3,13,18453.63,0.08,0.01,N,O,1997-04-23,1997-07-05,1997-05-05,DELIVER IN PERSON        ,AIR       , braids cajole fluffily across the slowl
