integer-1,integer-1,integer-1,integer-1,decimal-1,decimal-1,decimal-1,decimal-1,varchar-4,varchar-4,date-1,date-1,date-1,varchar-28,varchar-12,varchar-48
78,24932,29,2,13.00,12714.91,0.01,0.04,N,O,1996-02-27,1996-04-08,1996-03-18,DELIVER IN PERSON        ,AIR       ,thely. slyly regular deposits 
79,22117,5,4,2.00,1958.14,0.01,0.06,A,F,1993-10-03,1993-10-03,1993-11-02,DELIVER IN PERSON        ,AIR       ,cies. even theodolites a
88,5859,64,2,17.00,16797.36,0.03,0.03,N,O,1997-05-15,1997-06-30,1997-05-26,DELIVER IN PERSON        ,AIR       ,ly ironic requests. quickly unusual pin
97,18469,48,3,21.00,20938.89,0.05,0.06,N,O,1998-07-10,1998-09-12,1998-07-31,DELIVER IN PERSON        ,AIR       ,ter the blithely ironic accounts. 
98,18660,74,5,30.00,29942.70,0.08,0.00,N,O,1998-04-14,1998-04-25,1998-04-27,DELIVER IN PERSON        ,AIR       ,nusual theodolites
104,2054,83,7,4.00,4016.40,0.00,0.08,R,F,1992-08-12,1992-08-31,1992-08-15,DELIVER IN PERSON        ,AIR       ,lyly careful requests wake fl
104,9794,57,7,8.00,8032.80,0.00,0.05,A,F,1992-07-01,1992-05-15,1992-07-25,DELIVER IN PERSON        ,AIR       ,ular asympto
108,6727,9,1,28.00,28226.80,0.09,0.03,R,F,1994-11-03,1994-11-15,1994-12-01,DELIVER IN PERSON        ,AIR       ,hely ironic excuses wake fluffi
108,15809,61,2,6.00,6048.60,0.07,0.00,N,O,1995-11-05,1995-11-03,1995-12-02,DELIVER IN PERSON        ,AIR       ,eposits dazzl
109,23235,36,3,5.00,5045.50,0.03,0.08,N,O,1995-08-22,1995-08-11,1995-08-25,DELIVER IN PERSON        ,AIR       ,ecial packages cajole carefull
111,12934,12,5,13.00,13144.43,0.02,0.07,A,F,1994-04-25,1994-05-06,1994-05-21,DELIVER IN PERSON        ,AIR       ," final requests cajole bold, silent reque"
111,20807,12,6,23.00,23255.53,0.08,0.00,A,F,1992-08-10,1992-08-27,1992-08-29,DELIVER IN PERSON        ,AIR       ,theodolites. quickly ir
112,19175,65,5,26.00,26314.86,0.09,0.00,R,F,1994-10-25,1994-09-25,1994-11-24,DELIVER IN PERSON        ,AIR       , ironic ideas. quickly express the
118,1797,71,3,21.00,21380.31,0.02,0.01,N,O,1996-08-05,1996-08-05,1996-08-06,DELIVER IN PERSON        ,AIR       ,"ns. regular, regular deposit"
122,9702,1,2,14.00,14309.68,0.05,0.06,N,O,1996-10-10,1996-10-06,1996-10-14,DELIVER IN PERSON        ,AIR       ,. final packages ato
125,23136,52,2,11.00,11276.32,0.05,0.02,R,F,1994-12-11,1994-11-07,1994-12-12,DELIVER IN PERSON        ,AIR       , furiously acr
128,17796,29,2,7.00,7196.84,0.00,0.04,N,F,1995-05-28,1995-05-29,1995-06-22,DELIVER IN PERSON        ,AIR       ,"ely. unusual, furious escapades cajo"
137,13798,90,3,11.00,11408.43,0.01,0.02,N,O,1996-06-02,1996-04-10,1996-06-20,DELIVER IN PERSON        ,AIR       ,. ironic ide
153,19492,54,4,15.00,15797.25,0.07,0.08,R,F,1994-04-01,1994-02-07,1994-04-06,DELIVER IN PERSON        ,AIR       ,ctions haggle packages. packages acro
163,9857,16,6,5.00,5315.80,0.09,0.00,A,F,1993-08-04,1993-06-27,1993-09-02,DELIVER IN PERSON        ,AIR       ,ongside of the fin
164,1411,43,1,9.00,9577.44,0.06,0.04,A,F,1995-03-08,1995-03-04,1995-03-11,DELIVER IN PERSON        ,AIR       ,accounts. furiou
165,21152,92,2,24.00,25563.84,0.05,0.07,N,O,1997-12-30,1997-11-25,1998-01-20,DELIVER IN PERSON        ,AIR       ,ts; even accounts are careful
167,5348,68,3,16.00,17074.56,0.06,0.08,N,O,1998-02-28,1997-12-25,1998-03-12,DELIVER IN PERSON        ,AIR       ,uriously thin pinto beans 
169,21156,70,4,23.00,24590.68,0.10,0.00,N,O,1997-06-05,1997-06-20,1997-07-03,DELIVER IN PERSON        ,AIR       ,thely fluffily special re
170,7873,71,1,1.00,1070.17,0.09,0.02,A,F,1992-08-24,1992-09-18,1992-09-13,DELIVER IN PERSON        ,AIR       , cajole slyly across the final packag
173,12577,26,2,17.00,18243.89,0.05,0.07,N,O,1998-06-04,1998-08-06,1998-06-06,DELIVER IN PERSON        ,AIR       ,refully ironic requests. fin
177,2151,30,4,28.00,30160.76,0.10,0.08,N,O,1996-12-11,1996-12-26,1996-12-12,DELIVER IN PERSON        ,AIR       ,y special packages. carefully ironic instru
184,21889,11,5,11.00,11925.98,0.02,0.00,A,F,1993-07-17,1993-05-17,1993-07-30,DELIVER IN PERSON        ,AIR       ,ubt furiou
193,10917,94,1,15.00,16397.85,0.01,0.01,R,F,1992-03-23,1992-03-31,1992-04-12,DELIVER IN PERSON        ,AIR       ,pite the slyly final p
200,19203,53,4,6.00,6601.20,0.10,0.06,N,O,1996-10-10,1996-09-07,1996-10-30,DELIVER IN PERSON        ,AIR       ,thely furiously enticing account
201,4327,56,4,8.00,8809.60,0.04,0.08,N,F,1995-05-26,1995-05-28,1995-06-19,DELIVER IN PERSON        ,AIR       ,eodolites cajole; unusual Tiresias
205,1827,6,6,7.00,7736.40,0.10,0.02,N,O,1996-08-28,1996-08-07,1996-08-31,DELIVER IN PERSON        ,AIR       ,egular foxes
205,19139,6,3,30.00,33156.00,0.04,0.05,A,F,1994-03-18,1994-03-01,1994-04-13,DELIVER IN PERSON        ,AIR       ,gular pinto beans affix even accounts. 
210,23972,11,1,29.00,32196.09,0.07,0.02,R,F,1993-10-26,1993-10-20,1993-11-20,DELIVER IN PERSON        ,AIR       ,c instructions nag about the foxes. iron
216,1090,17,1,5.00,5581.05,0.02,0.05,N,O,1998-02-19,1997-12-25,1998-02-24,DELIVER IN PERSON        ,AIR       ,s above the 
216,12262,17,1,17.00,18975.57,0.02,0.07,N,O,1996-01-29,1996-01-25,1996-02-11,DELIVER IN PERSON        ,AIR       ,onic packages. ex
218,6816,19,1,20.00,22364.20,0.01,0.02,N,O,1998-05-21,1998-03-19,1998-06-13,DELIVER IN PERSON        ,AIR       ,y regular pinto beans
220,22245,2,2,2.00,2240.44,0.06,0.01,R,F,1994-06-19,1994-07-20,1994-07-01,DELIVER IN PERSON        ,AIR       ,ously even sauternes. carefully final
223,6118,51,1,23.00,25834.06,0.07,0.07,N,O,1997-06-01,1997-06-19,1997-06-13,DELIVER IN PERSON        ,AIR       ,ies. packages among t
224,24421,79,2,9.00,10117.98,0.06,0.02,N,O,1997-09-10,1997-09-27,1997-09-14,DELIVER IN PERSON        ,AIR       ,ouches cajole quickly unusual de
226,22337,81,3,3.00,3378.66,0.00,0.04,N,O,1996-06-01,1996-05-23,1996-06-21,DELIVER IN PERSON        ,AIR       , dolphins. slyly even 
231,18562,13,3,2.00,2262.46,0.05,0.00,N,O,1996-04-17,1996-02-07,1996-05-06,DELIVER IN PERSON        ,AIR       , slyly final theodolites. accounts believ
235,1761,17,6,12.00,13622.76,0.01,0.05,A,F,1994-04-16,1994-03-08,1994-04-21,DELIVER IN PERSON        ,AIR       , sleep furiously. deposits are acco
236,22788,91,4,3.00,3408.69,0.03,0.03,N,O,1998-06-07,1998-07-21,1998-07-04,DELIVER IN PERSON        ,AIR       ,depths: fluffily regular warthogs
240,8167,41,3,4.00,4560.96,0.03,0.05,A,F,1992-11-06,1992-10-30,1992-12-05,DELIVER IN PERSON        ,AIR       ,en deposits alongside of the slyly even s
242,14790,43,4,4.00,4568.96,0.06,0.00,N,O,1996-09-23,1996-11-01,1996-09-28,DELIVER IN PERSON        ,AIR       ,fily ironic dinos c
244,4709,45,1,25.00,28606.00,0.03,0.05,N,O,1996-02-21,1996-02-11,1996-03-17,DELIVER IN PERSON        ,AIR       ,deposits grow. fluffily unusual accounts 
246,3585,28,5,13.00,14901.12,0.06,0.07,R,F,1995-03-15,1995-01-22,1995-03-17,DELIVER IN PERSON        ,AIR       ,ccording to the foxes. slyly iro
252,1089,53,3,23.00,26501.75,0.10,0.05,N,O,1996-06-24,1996-07-25,1996-07-20,DELIVER IN PERSON        ,AIR       ,g dolphins. deposits integrate. s
257,11299,39,2,15.00,17358.75,0.07,0.07,R,F,1993-12-21,1993-12-13,1994-01-14,DELIVER IN PERSON        ,AIR       ,yly at the carefully ironic theodo
266,8869,21,4,18.00,20992.68,0.00,0.06,R,F,1993-09-12,1993-07-07,1993-09-27,DELIVER IN PERSON        ,AIR       ,ly final instructions use furiously regu
268,2342,96,5,22.00,25701.72,0.08,0.01,N,O,1996-08-10,1996-08-02,1996-08-31,DELIVER IN PERSON        ,AIR       ,s. ironic 
268,12128,50,1,22.00,25701.72,0.10,0.04,N,O,1997-08-30,1997-09-04,1997-09-01,DELIVER IN PERSON        ,AIR       , accounts are slyl
278,9376,79,2,13.00,15317.51,0.08,0.01,N,O,1997-10-28,1997-09-12,1997-10-29,DELIVER IN PERSON        ,AIR       ,ges sleep slyly caref
281,132,63,4,23.00,27169.44,0.10,0.00,A,F,1993-06-16,1993-08-27,1993-06-23,DELIVER IN PERSON        ,AIR       ,refully blithely bold acco
281,6562,82,3,20.00,23625.60,0.04,0.04,R,F,1995-01-03,1995-03-03,1995-01-28,DELIVER IN PERSON        ,AIR       ,p furiously
283,12519,11,3,26.00,30765.28,0.08,0.00,R,F,1994-01-11,1994-02-28,1994-02-04,DELIVER IN PERSON        ,AIR       ,g the blithely special accou
287,2791,69,7,26.00,30869.28,0.06,0.03,R,F,1995-02-06,1994-12-07,1995-02-23,DELIVER IN PERSON        ,AIR       ,uriously special instructio
291,7718,19,1,8.00,9530.32,0.04,0.07,N,O,1998-03-15,1998-04-07,1998-03-19,DELIVER IN PERSON        ,AIR       , cajole against the blith
298,16966,26,4,28.00,33552.12,0.05,0.02,A,F,1994-12-08,1994-12-08,1995-01-05,DELIVER IN PERSON        ,AIR       ,ously about the final theodolites. quick
298,21703,99,5,16.00,19172.64,0.08,0.06,R,F,1994-04-01,1994-04-23,1994-04-09,DELIVER IN PERSON        ,AIR       ,sleep furiously. blithely bold
303,13155,88,1,5.00,6016.50,0.06,0.01,N,O,1996-07-15,1996-08-27,1996-07-22,DELIVER IN PERSON        ,AIR       ,haggle slyly final hockey pla
309,2753,38,4,7.00,8465.10,0.07,0.03,R,F,1994-02-11,1994-01-22,1994-03-10,DELIVER IN PERSON        ,AIR       ,xpress ideas detect b
311,1447,68,2,6.00,7267.86,0.01,0.05,A,F,1992-10-24,1992-12-10,1992-11-05,DELIVER IN PERSON        ,AIR       ,as! regular packages poach above the
321,11460,78,1,6.00,7327.92,0.07,0.06,A,F,1993-11-14,1993-10-31,1993-11-25,DELIVER IN PERSON        ,AIR       ,packages. blithely pending ideas i
322,11395,23,1,24.00,29335.68,0.02,0.03,N,O,1997-10-28,1997-10-16,1997-10-31,DELIVER IN PERSON        ,AIR       ," regular, enticing accounts breach ab"
326,13987,83,2,20.00,24526.40,0.04,0.05,N,O,1998-07-25,1998-05-17,1998-08-23,DELIVER IN PERSON        ,AIR       ,carefully brave foxes. carefully final p
332,11556,33,4,13.00,16020.29,0.09,0.02,N,O,1996-05-22,1996-05-26,1996-06-13,DELIVER IN PERSON        ,AIR       , pinto beans wake furiousl
334,2307,63,3,7.00,8640.31,0.07,0.04,R,F,1993-08-03,1993-09-04,1993-08-28,DELIVER IN PERSON        ,AIR       ,ven instructions wake fluffily 
336,4743,37,4,27.00,33380.91,0.08,0.05,R,F,1993-07-26,1993-05-27,1993-08-24,DELIVER IN PERSON        ,AIR       ,aids use. express deposits
338,1920,23,5,14.00,17336.62,0.08,0.05,N,O,1998-10-22,1998-08-10,1998-10-27,DELIVER IN PERSON        ,AIR       ,ickly ironic d
340,1766,69,2,12.00,14884.08,0.05,0.01,N,O,1996-10-28,1996-12-18,1996-11-15,DELIVER IN PERSON        ,AIR       ,"heodolites above the final, regular acc"
345,21440,2,1,24.00,29888.16,0.06,0.08,A,F,1993-01-21,1993-02-04,1993-01-30,DELIVER IN PERSON        ,AIR       ,", pending platelets."
348,11522,77,2,5.00,6241.70,0.03,0.00,A,F,1993-10-10,1993-11-13,1993-10-19,DELIVER IN PERSON        ,AIR       , foxes. express packages
353,17830,38,1,19.00,23813.65,0.10,0.06,N,O,1996-12-22,1996-11-20,1997-01-15,DELIVER IN PERSON        ,AIR       ,uests. carefully ironic w
355,7492,12,1,17.00,21340.95,0.05,0.02,N,O,1996-08-09,1996-08-26,1996-08-29,DELIVER IN PERSON        ,AIR       ,blithely bus
355,11264,84,5,16.00,20085.60,0.03,0.08,N,O,1996-11-12,1996-11-13,1996-12-03,DELIVER IN PERSON        ,AIR       , express theodolites. even accounts hag
359,15269,16,5,3.00,3778.05,0.09,0.04,N,O,1996-09-25,1996-11-15,1996-10-03,DELIVER IN PERSON        ,AIR       ,tions lose fluffily be
364,22371,49,2,8.00,10114.88,0.08,0.07,A,F,1994-06-10,1994-06-29,1994-06-20,DELIVER IN PERSON        ,AIR       ,ments. quickly sile
371,24165,100,1,7.00,8899.59,0.05,0.02,R,F,1995-03-15,1995-01-22,1995-03-28,DELIVER IN PERSON        ,AIR       , the unusual request
372,20004,57,2,26.00,33081.62,0.03,0.01,N,O,1996-09-01,1996-08-17,1996-09-13,DELIVER IN PERSON        ,AIR       ,y ironic requests are 
375,16613,60,6,30.00,38261.10,0.00,0.02,R,F,1993-12-29,1994-02-07,1993-12-31,DELIVER IN PERSON        ,AIR       ,s are furiously carefully even foxes. speci
376,9219,33,2,26.00,33185.62,0.00,0.01,R,F,1995-01-25,1994-11-23,1995-02-10,DELIVER IN PERSON        ,AIR       ,y even acc
377,25921,78,1,1.00,1277.37,0.07,0.03,N,O,1997-10-02,1997-07-20,1997-10-07,DELIVER IN PERSON        ,AIR       ,. quickly stealthy 
385,8388,70,1,30.00,38561.40,0.06,0.07,R,F,1992-06-07,1992-04-24,1992-06-18,DELIVER IN PERSON        ,AIR       ,uses sleep slyly around the specia
390,10438,91,4,27.00,34840.53,0.06,0.07,R,F,1993-01-27,1993-01-15,1993-02-15,DELIVER IN PERSON        ,AIR       ,packages affix blithely along 
396,6822,97,7,4.00,5185.56,0.04,0.04,N,O,1997-09-20,1997-09-09,1997-10-18,DELIVER IN PERSON        ,AIR       , slyly. theodolites wake
398,3366,99,1,4.00,5193.56,0.07,0.01,N,O,1997-05-20,1997-06-25,1997-06-03,DELIVER IN PERSON        ,AIR       , carefully about 
400,10338,1,1,2.00,2600.80,0.05,0.06,N,O,1995-08-01,1995-09-02,1995-08-07,DELIVER IN PERSON        ,AIR       , deposits integrate slyly slyly unusual i
407,18820,37,5,13.00,16996.20,0.07,0.08,R,F,1995-06-02,1995-03-25,1995-06-03,DELIVER IN PERSON        ,AIR       ,about the slyly ironic
416,1571,75,5,10.00,13164.10,0.03,0.06,R,F,1992-12-12,1993-02-13,1992-12-29,DELIVER IN PERSON        ,AIR       ,lets. carefully regular ideas wake
416,8581,17,2,8.00,10531.28,0.07,0.05,R,F,1993-08-19,1993-09-23,1993-09-01,DELIVER IN PERSON        ,AIR       ,sly according to the furiously special 
419,21858,20,7,21.00,27707.61,0.03,0.08,N,O,1998-01-18,1997-12-10,1998-02-06,DELIVER IN PERSON        ,AIR       ,s regular deposits about the slyly
420,18404,21,2,25.00,33010.50,0.07,0.02,N,O,1998-05-28,1998-06-24,1998-06-07,DELIVER IN PERSON        ,AIR       ,g accounts sleep fluffily alo
420,19234,21,2,8.00,10563.36,0.07,0.08,A,F,1994-04-24,1994-04-12,1994-05-19,DELIVER IN PERSON        ,AIR       ,y pending requests. carefully b
423,7331,11,1,22.00,29115.24,0.00,0.05,N,O,1996-08-26,1996-08-28,1996-09-13,DELIVER IN PERSON        ,AIR       ,y pending deposits. final deposits after
441,5122,42,3,12.00,16097.28,0.07,0.03,N,O,1996-04-02,1996-04-27,1996-04-10,DELIVER IN PERSON        ,AIR       ,lar instructions 
441,11013,71,1,2.00,2682.88,0.08,0.05,R,F,1994-07-24,1994-06-09,1994-08-02,DELIVER IN PERSON        ,AIR       ,ges nag slyly even 
442,32,72,3,2.00,2684.88,0.09,0.02,N,O,1995-08-07,1995-10-07,1995-08-23,DELIVER IN PERSON        ,AIR       , express accounts wake according to the
443,24579,2,3,6.00,8060.64,0.07,0.08,R,F,1993-01-23,1992-12-26,1993-02-16,DELIVER IN PERSON        ,AIR       ,lly. bold pinto beans eat ca
445,9158,4,2,1.00,1345.44,0.07,0.00,A,F,1995-05-10,1995-06-27,1995-05-24,DELIVER IN PERSON        ,AIR       , fluffily bold deposits. blithely re
445,14242,4,1,17.00,22872.48,0.03,0.04,N,F,1995-06-17,1995-06-09,1995-06-25,DELIVER IN PERSON        ,AIR       ,posits. quickly even instructions are 
453,901,54,2,2.00,2706.90,0.09,0.02,N,O,1998-10-25,1998-09-27,1998-11-01,DELIVER IN PERSON        ,AIR       ,d foxes use slyly
453,6210,83,4,1.00,1353.45,0.07,0.03,N,O,1996-11-26,1997-01-28,1996-12-04,DELIVER IN PERSON        ,AIR       ,quests slee
456,6246,86,6,17.00,23059.65,0.01,0.08,A,F,1995-01-06,1994-12-31,1995-02-02,DELIVER IN PERSON        ,AIR       ,ully regular depo
458,12839,59,5,5.00,6792.25,0.10,0.04,N,O,1998-02-14,1998-02-19,1998-03-11,DELIVER IN PERSON        ,AIR       ,express accounts b
459,5633,60,3,27.00,36705.15,0.03,0.02,N,O,1998-09-28,1998-07-28,1998-10-12,DELIVER IN PERSON        ,AIR       ,ructions. even ideas haggle carefully r
465,12064,95,4,24.00,32771.04,0.03,0.04,R,F,1992-12-08,1992-12-03,1993-01-06,DELIVER IN PERSON        ,AIR       ,ly. carefully silent a
478,928,66,2,24.00,33083.28,0.05,0.08,A,F,1995-04-06,1995-05-08,1995-04-24,DELIVER IN PERSON        ,AIR       ,s the furiously regular warthogs im
480,2304,81,3,3.00,4141.44,0.00,0.05,R,F,1994-03-19,1994-03-04,1994-03-20,DELIVER IN PERSON        ,AIR       ,l excuses after the ev
490,23141,49,2,9.00,12514.41,0.01,0.03,N,O,1997-10-11,1997-11-05,1997-10-20,DELIVER IN PERSON        ,AIR       ,cajole furiously around the 
492,16288,93,4,25.00,34812.25,0.04,0.02,N,O,1996-05-20,1996-04-03,1996-05-24,DELIVER IN PERSON        ,AIR       ,"ges sleep. ironic, ironic packa"
498,12741,57,2,27.00,37759.23,0.10,0.04,A,F,1992-09-10,1992-10-04,1992-10-06,DELIVER IN PERSON        ,AIR       ,usual accounts. e
500,5031,1,1,15.00,21007.50,0.02,0.05,R,F,1995-04-01,1995-02-24,1995-04-12,DELIVER IN PERSON        ,AIR       ,yly pending theodolites.
513,17701,14,3,17.00,24029.67,0.02,0.03,A,F,1992-08-08,1992-08-03,1992-08-20,DELIVER IN PERSON        ,AIR       ,ngly regular asy
522,21378,23,1,26.00,36985.52,0.06,0.06,N,O,1995-10-02,1995-10-05,1995-10-25,DELIVER IN PERSON        ,AIR       , to the blit
522,22595,23,7,2.00,2845.04,0.09,0.06,N,O,1996-05-01,1996-06-11,1996-05-06,DELIVER IN PERSON        ,AIR       , slyly final requests cajole blith
528,22146,59,4,26.00,37141.52,0.08,0.02,N,O,1998-07-12,1998-08-11,1998-08-04,DELIVER IN PERSON        ,AIR       ,c deposits. slyly pending accounts are bli
536,2784,37,2,23.00,33040.19,0.03,0.05,N,O,1998-03-28,1998-02-07,1998-04-17,DELIVER IN PERSON        ,AIR       ,uests lose after 
538,1988,29,3,8.00,11508.24,0.06,0.01,N,O,1995-10-20,1995-11-11,1995-11-18,DELIVER IN PERSON        ,AIR       ,le quickly ac
550,15750,81,3,6.00,8703.30,0.05,0.08,N,O,1997-09-22,1997-07-07,1997-10-09,DELIVER IN PERSON        ,AIR       ,arefully unusual packages sleep into t
555,18208,46,1,27.00,39299.85,0.10,0.03,A,F,1992-07-07,1992-05-04,1992-07-08,DELIVER IN PERSON        ,AIR       ,sly about the never regular asymptotes
565,3271,56,1,30.00,43966.80,0.01,0.04,A,F,1992-01-16,1992-03-20,1992-01-17,DELIVER IN PERSON        ,AIR       ,r the unusual Tiresia
566,18081,97,3,27.00,39597.12,0.10,0.06,N,O,1997-01-03,1996-11-30,1997-01-27,DELIVER IN PERSON        ,AIR       ,leep about the s
568,548,59,4,21.00,30839.76,0.08,0.03,A,F,1994-10-27,1994-12-04,1994-11-21,DELIVER IN PERSON        ,AIR       , engage quickly. regular theo
570,6724,31,3,17.00,24999.69,0.07,0.03,N,O,1995-11-10,1995-12-23,1995-11-11,DELIVER IN PERSON        ,AIR       ,ully regular acco
573,14598,64,5,7.00,10314.99,0.06,0.02,N,O,1998-03-18,1998-04-28,1998-04-02,DELIVER IN PERSON        ,AIR       ,lithely even dependencie
576,9280,67,6,14.00,20671.98,0.07,0.04,N,O,1998-09-21,1998-08-16,1998-10-15,DELIVER IN PERSON        ,AIR       ,l packages. carefully silent hockey player
580,13153,11,4,13.00,19247.54,0.01,0.05,N,O,1997-03-03,1997-01-08,1997-03-06,DELIVER IN PERSON        ,AIR       ,s thrash. regular acco
590,8451,51,1,30.00,44717.70,0.07,0.02,N,O,1996-03-04,1996-02-28,1996-03-16,DELIVER IN PERSON        ,AIR       ,edly final deposits after the spec
595,12194,26,2,14.00,20938.26,0.06,0.07,A,F,1995-04-10,1995-05-24,1995-04-17,DELIVER IN PERSON        ,AIR       ,deas impress at the quickly unusual the
596,14656,97,1,21.00,31428.39,0.09,0.00,N,O,1998-01-23,1997-12-23,1998-02-15,DELIVER IN PERSON        ,AIR       ,lar deposits. fluffily regular accounts w
601,899,33,1,18.00,27028.80,0.04,0.05,N,O,1998-08-06,1998-05-09,1998-09-05,DELIVER IN PERSON        ,AIR       ,"re daring, pending deposits. blit"
601,12416,2,1,7.00,10511.20,0.10,0.05,R,F,1993-10-18,1993-09-01,1993-10-27,DELIVER IN PERSON        ,AIR       ,packages. slyly un
605,17221,6,1,1.00,1505.60,0.08,0.04,R,F,1994-08-28,1994-08-18,1994-09-27,DELIVER IN PERSON        ,AIR       ,n excuses cajole. 
607,23238,8,6,26.00,39197.60,0.03,0.00,R,F,1993-05-29,1993-05-30,1993-06-25,DELIVER IN PERSON        ,AIR       ,s cajole s
609,12583,3,1,30.00,45288.00,0.09,0.04,N,O,1996-02-10,1996-03-27,1996-02-23,DELIVER IN PERSON        ,AIR       ,"ial, regular plate"
616,19335,48,3,10.00,15166.10,0.03,0.07,N,O,1997-10-09,1997-11-29,1997-11-02,DELIVER IN PERSON        ,AIR       ,ly ironic theodolites use furiously reg
616,25318,48,5,28.00,42465.08,0.05,0.00,N,O,1996-02-13,1996-01-14,1996-03-10,DELIVER IN PERSON        ,AIR       ,ckly furiously final foxes. quickly ironic 
622,22021,54,4,19.00,28929.78,0.04,0.02,N,O,1996-08-15,1996-08-08,1996-08-19,DELIVER IN PERSON        ,AIR       ,ial pinto beans haggle quietly regula
625,2624,88,1,15.00,22884.30,0.03,0.07,N,O,1997-02-28,1997-02-19,1997-03-21,DELIVER IN PERSON        ,AIR       ,le. quickly pending requests
627,8034,28,1,24.00,36662.88,0.00,0.08,A,F,1992-04-11,1992-03-08,1992-04-16,DELIVER IN PERSON        ,AIR       ,ged packages
631,22529,32,1,22.00,33695.86,0.05,0.07,A,F,1993-05-27,1993-07-15,1993-06-15,DELIVER IN PERSON        ,AIR       ,"ter the final, furious ex"
635,19527,67,3,30.00,46068.90,0.00,0.06,N,O,1996-07-20,1996-09-07,1996-08-11,DELIVER IN PERSON        ,AIR       ,requests. carefully iron
637,22628,69,4,24.00,36903.12,0.06,0.03,R,F,1994-12-05,1995-01-14,1994-12-18,DELIVER IN PERSON        ,AIR       ,ncies nag per
640,5409,72,6,14.00,21568.96,0.03,0.08,R,F,1992-02-14,1992-03-26,1992-02-29,DELIVER IN PERSON        ,AIR       ,osits cajole furiously
642,1347,43,5,9.00,13883.76,0.01,0.03,N,O,1997-08-28,1997-09-16,1997-09-26,DELIVER IN PERSON        ,AIR       , detect blithely above the fina
