integer-1,varchar-32,varchar-32,integer-1
12654,BMW,1 Series,2845
12654,Suzuki,SJ,7218
12667,Ford,E350,3818
12680,Audi,Cabriolet,4630
12685,Infiniti,I,1716
12688,Ford,LTD Crown Victoria,604
12688,Toyota,Celica,3886
12708,Bentley,Continental Super,3404
12711,Lexus,LS,6426
12717,MINI,Clubman,3780
12792,Land Rover,Discovery,6870
12805,Honda,Odyssey,2731
12813,Isuzu,Amigo,4810
12824,Cadillac,SRX,5178
12843,Hyundai,Tucson,7167
12865,Volkswagen,riolet,2940
12873,Ford,Explorer,740
12879,Mercedes-Benz,300SE,6546
12915,Pontiac,Vibe,3365
12915,Kia,Optima,4678
12936,Mitsubishi,Eclipse,1166
12936,Honda,Insight,3777
12949,Honda,Element,3451
12997,Honda,S2000,1920
13004,GMC,Savana 3500,7117
13016,Lexus,SC,248
13024,Oldsmobile,Ciera,3871
13038,Ford,F150,943
13042,Audi,4000s,6624
13046,Buick,Verano,2737
13092,Ram,1500,4204
13098,Lexus,IS-F,5069
13100,Nissan,Pathfinder,4461
13118,GMC,2500,7311
13119,Pontiac,Sunbird,6461
13122,Mitsubishi,Chariot,2643
13143,Chevrolet,Malibu,3490
13144,Saab,9-3,4286
13148,Chevrolet,G-Series G30,7948
13157,Chevrolet,Suburban 2500,6134
13158,Mercury,Monterey,121
13174,Nissan,Frontier,953
13185,Scion,xA,2135
13190,Toyota,Prius,5489
13202,Lincoln,Continental,2841
13216,BMW,Z8,4071
13233,BMW,X3,5917
13235,Pontiac,GTO,4409
13260,Chevrolet,Sportvan G20,7864
13278,Maserati,Gran Sport,6251
13294,Mazda,MPV,4012
13306,Ford,Escape,4329
13317,Chevrolet,Express 2500,772
13369,Oldsmobile,Silhouette,6102
13370,Land Rover,Defender 90,5913
13370,Volkswagen,GTI,6259
13380,Mitsubishi,Galant,1995
13386,Kia,Sedona,28
13393,Pontiac,Aztek,1110
13418,Scion,xD,6128
13438,Ford,Econoline E150,5846
13441,Volkswagen,Type 2,2899
13444,BMW,5 Series,7207
13458,Mazda,929,2301
13461,Ford,Five Hundred,4514
13463,Oldsmobile,Achieva,4797
13474,Lincoln,Navigator L,4403
13474,Dodge,Durango,7346
13475,Lotus,Esprit,6626
13481,Mitsubishi,Diamante,1449
13486,Ford,Ranger,1486
13489,Land Rover,Discovery,5828
13494,Buick,Regal,7505
13509,Chevrolet,1500,6678
13515,Volvo,V50,1648
13526,Nissan,Frontier,5185
13545,Nissan,Versa,782
13574,Pontiac,Grand Am,4067
13584,Mercedes-Benz,SL-Class,5374
13596,Volvo,S60,6314
13606,Pontiac,GTO,87
13625,Toyota,Prius,6046
13630,Volkswagen,Golf,2331
13651,Mazda,Protege,2772
13652,Mazda,Mazda3,2212
13668,Mitsubishi,RVR,6911
13672,Plymouth,Grand Voyager,5049
13679,Ford,Crown Victoria,2929
13685,Volkswagen,GTI,6575
13709,Mitsubishi,Truck,7577
13715,Mazda,Familia,7458
13729,Mercury,Lynx,4347
13736,BMW,3 Series,327
13740,GMC,Savana,3955
13762,Mazda,Mazda3,5983
13776,Mazda,MX-5,7639
13787,Ford,Probe,7957
13793,Nissan,300ZX,3697
13806,Mercedes-Benz,G-Class,320
13809,BMW,Z8,3979
13820,Toyota,Tacoma,269
13838,Mazda,626,6727
13844,BMW,M5,181
13847,Chevrolet,Silverado 2500,5996
13871,Saab,9000,3713
13872,Toyota,Tacoma,5551
13875,Bentley,Mulsanne,4658
13876,Mitsubishi,L300,1196
13882,Kia,Optima,5923
13884,Audi,A4,627
13884,BMW,X3,4674
13895,GMC,Savana,3417
13905,Lamborghini,Diablo,2823
13921,Isuzu,Trooper,7329
13979,Jaguar,XJ Series,6374
14010,Chevrolet,Express 2500,2920
14011,Mercedes-Benz,M-Class,5001
14020,Mitsubishi,Sigma,6078
14021,Suzuki,Aerio,1743
14034,Lexus,GX,6609
14037,Chrysler,Concorde,7093
14049,Honda,Prelude,6792
14050,BMW,X3,2924
14055,Mercedes-Benz,CLK-Class,4134
14058,Isuzu,Rodeo,396
14058,Chevrolet,Volt,3711
14095,Jaguar,XK Series,7293
14116,Bentley,Azure,6464
14130,Subaru,Impreza,5434
14162,Honda,Ridgeline,1153
14168,Mitsubishi,3000GT,6752
14173,Buick,Electra,6190
14204,Chevrolet,Avalanche,1406
14210,Toyota,Matrix,1592
14215,Mitsubishi,Galant,4310
14215,BMW,X5,5978
14221,Honda,Element,7898
14238,Honda,Civic,6600
14253,Mercedes-Benz,CLK-Class,5819
14255,Buick,Electra,1132
14258,Dodge,Ram 2500,2293
14258,Volkswagen,Touareg,7689
14264,Honda,Odyssey,4855
14267,Kia,Optima,2382
14271,Mercedes-Benz,C-Class,1233
14276,Pontiac,Grand Prix,4326
14283,Mitsubishi,GTO,6808
14291,Saab,900,583
14291,Chrysler,LHS,5519
14299,Ford,Taurus,7997
14319,Lotus,Esprit,352
14320,Dodge,Intrepid,5527
14327,Chevrolet,Avalanche,1464
14330,Mitsubishi,Lancer Evolution,6369
14345,Jeep,Wrangler,2821
14373,Ford,Fiesta,678
14380,Mitsubishi,Tredia,102
14409,Ford,Ranger,1244
14413,Chevrolet,Tracker,3746
14448,Mercedes-Benz,SL-Class,7137
14462,Ford,Taurus,4243
14500,Nissan,GT-R,1206
14502,Lotus,Esprit,3923
14504,Toyota,Celica,5544
14525,Dodge,Durango,6322
14532,Lexus,ES,584
14542,Chevrolet,Monte Carlo,4126
14552,BMW,5 Series,7554
14595,Volvo,V70,5010
14613,Nissan,Xterra,553
14617,Ford,Explorer,1148
14640,Mitsubishi,Cordia,1326
14650,Oldsmobile,Cutlass,4731
14678,GMC,Sierra 3500,1723
14686,Volkswagen,Golf,4827
14695,GMC,Suburban 1500,7426
14700,Pontiac,Trans Sport,1614
14706,Volvo,940,4041
14717,Mazda,RX-7,6468
14719,Mazda,RX-7,4233
14720,Volvo,XC70,1400
14732,Chrysler,Town & Country,7989
14739,Nissan,Quest,6488
14758,Toyota,Tundra,5415
14758,Toyota,T100 Xtra,5512
14770,Infiniti,I,3918
14774,Infiniti,FX,5483
14780,Volvo,V90,1602
14795,Ferrari,F430 Spider,1959
14798,Infiniti,G,4367
14802,Mercury,Tracer,2496
14805,Ford,Falcon,4686
14822,Ford,F150,1241
14847,Dodge,Ram Van 2500,1044
14864,Mercedes-Benz,SL-Class,2088
14871,Oldsmobile,Cutlass,90
14892,Pontiac,Safari,4994
14905,Chevrolet,Express 1500,85
14922,Honda,CR-V,4231
14928,Kia,Sorento,7770
14945,Mercedes-Benz,SL-Class,7944
14949,Kia,Amanti,6943
14982,Toyota,Camry,7985
14989,Jeep,Grand Cherokee,308
15052,Ford,Torino,3147
15054,Pontiac,6000,4082
15079,Ford,F-Series,6578
15091,BMW,760,1745
15119,BMW,545,7469
15120,Infiniti,FX,7331
15125,Nissan,Xterra,4143
15129,Volkswagen,Jetta III,4662
15147,GMC,Canyon,680
15154,Buick,Regal,1887
15157,Ford,Ranger,3523
15166,Ford,E250,7429
15167,Ford,F250,1362
15169,Oldsmobile,Silhouette,1899
15186,BMW,X5,1773
15189,Ford,E-Series,38
15189,Honda,Ridgeline,5998
15195,Infiniti,G,6873
15209,Audi,Coupe GT,4068
15211,Buick,Skylark,2749
15212,Pontiac,Firefly,2722
15217,Ford,Expedition EL,349
15238,Nissan,Maxima,2857
15253,Daewoo,Leganza,3694
15261,Subaru,Tribeca,2799
15282,Lotus,Elise,3688
15286,Ford,Escort,2361
15312,Ford,Mustang,5194
15349,Honda,Accord,6925
15372,Isuzu,Stylus,7874
15393,Toyota,T100 Xtra,7403
15396,GMC,Envoy,6450
15401,Subaru,Forester,4974
15403,Hyundai,Genesis Coupe,839
15430,Ford,F150,439
15469,Toyota,4Runner,2825
15476,Ford,Aerostar,7910
15507,Lamborghini,Diablo,2021
15521,Porsche,911,3137
15541,Ford,Laser,329
15554,Mercury,Cougar,1905
15558,Pontiac,Gemini,2255
15572,Dodge,Dakota,2076
15572,Mazda,Protege,3555
15602,Aston Martin,Vantage,6857
15609,Acura,MDX,5908
15635,Mitsubishi,Truck,247
15642,Mazda,Mazdaspeed6,4364
15647,Audi,Cabriolet,6718
15663,Pontiac,Trans Sport,4178
15685,Cadillac,CTS,2797
15695,Nissan,Altima,3635
15703,Mitsubishi,Diamante,2011
15710,Mitsubishi,Pajero,2044
15720,Buick,Lucerne,2992
15733,Mazda,626,337
15735,Ford,Econoline E250,3355
15745,Pontiac,Grand Prix,2624
15753,Mercury,Mountaineer,4485
15762,Mazda,Tribute,5507
15763,Volkswagen,Passat,993
15765,Kia,Optima,3061
15783,Nissan,Leaf,1105
15790,GMC,Savana 1500,1683
15792,Ford,Freestyle,1289
15829,Volkswagen,Scirocco,6947
15831,Smart,Fortwo,2133
15840,Isuzu,Hombre,4713
15853,GMC,Canyon,432
15865,Lexus,LS,4603
15872,Toyota,Matrix,5690
15873,GMC,1500 Club Coupe,5840
15927,Chrysler,Imperial,6110
15947,Audi,A8,6427
15955,Acura,TL,5905
15961,Toyota,RAV4,3848
15968,Pontiac,GTO,4935
15970,Isuzu,i-290,1349
15970,Chevrolet,2500,5119
16021,Volkswagen,Jetta,6376
16023,Dodge,Dakota Club,4094
16043,Chrysler,New Yorker,4327
16048,Buick,Riviera,7828
16060,Ford,Aspire,7655
16082,Saab,9000,3971
16083,Volkswagen,Corrado,3154
16092,Mitsubishi,Galant,4600
16097,Ford,E250,6608
16100,Infiniti,G,6816
16101,Subaru,Justy,2422
16109,Mitsubishi,Lancer,3805
16115,Geo,Prizm,6577
16167,Toyota,Camry Hybrid,836
16177,BMW,3 Series,6790
16179,Dodge,Grand Caravan,1232
16181,BMW,X3,2364
16195,Ford,Galaxie,1584
16213,Mitsubishi,Truck,2511
16239,Volvo,V70,5252
16247,Chevrolet,Bel Air,5172
16264,BMW,M5,2916
16266,Volkswagen,Scirocco,613
16275,Ford,Tempo,1962
16277,Volvo,XC60,5517
16278,Infiniti,G,5478
16285,Chevrolet,Traverse,3270
16320,Saturn,S-Series,3569
16324,Chevrolet,1500,5675
16327,Mercedes-Benz,SLR McLaren,7752
16330,Audi,A6,7608
16345,BMW,X3,1189
16382,Acura,Integra,3994
16383,Dodge,Avenger,6443
16401,Volvo,XC90,937
16410,Chrysler,Town & Country,7113
16422,Dodge,Caravan,6898
16439,Hyundai,Sonata,5089
16446,Chevrolet,Silverado 1500,5485
16455,Volvo,V90,6613
16472,GMC,Sonoma Club,5389
16473,Toyota,Land Cruiser,1354
16475,GMC,Yukon,5648
16482,Ford,E-Series,519
16484,Acura,TSX,1062
16490,Scion,xA,6072
16494,Toyota,Matrix,3066
16504,Isuzu,Rodeo,1159
16512,Land Rover,Range Rover,4238
16515,Dodge,Intrepid,2936
16519,Mitsubishi,Space,4140
16573,Nissan,Pathfinder,5788
16577,Volkswagen,Cabriolet,2952
16580,Honda,Civic,7681
16583,Cadillac,Seville,4095
16589,Chrysler,Aspen,4070
16598,Subaru,Impreza,6695
16625,Ford,Tempo,5686
16629,Lexus,IS-F,6457
16653,GMC,Sierra,6823
16666,Chevrolet,Venture,2273
16669,GMC,Sonoma,4457
16670,Jaguar,XJ Series,4667
16678,Cadillac,Fleetwood,5034
16682,Infiniti,I,363
16688,Honda,Odyssey,1622
16693,Hyundai,Accent,610
16696,Toyota,Avalon,7663
16705,Mercedes-Benz,190E,455
16705,Honda,Accord,7619
16749,Ford,E-Series,601
16761,Honda,Accord,1854
16778,Dodge,Ram 3500,4264
16782,Dodge,Charger,805
16794,Dodge,Ram 3500,7844
16796,Volkswagen,Quantum,7956
16805,Acura,ZDX,5567
16810,Scion,tC,7952
16824,Toyota,RAV4,7439
16827,Lincoln,Continental,5558
16844,Kia,Forte,5543
16849,Infiniti,QX,6778
16860,GMC,Envoy,577
16871,Volkswagen,Golf,3272
16879,Ford,Laser,3605
16890,Suzuki,SJ,1810
16910,Buick,Somerset,4047
16929,Ford,Explorer Sport Trac,5365
16945,Ford,F250,1151
16953,Infiniti,FX,1255
16978,Mercury,Capri,5087
16980,Chevrolet,Prizm,5168
16982,Cadillac,Catera,160
16985,Land Rover,LR4,6337
16989,GMC,Savana 3500,4869
16998,Ford,Mustang,6232
17006,Porsche,911,6675
17055,Bentley,Continental Flying Spur,851
17061,Chevrolet,S10 Blazer,7197
17080,Scion,tC,2149
17081,Mercedes-Benz,190E,4712
17094,Mazda,B-Series,3776
17104,Chevrolet,Suburban 2500,3253
17115,Audi,100,1593
17116,Mercedes-Benz,SL-Class,7922
17142,Toyota,Celica,3160
17144,Buick,Park Avenue,4632
17147,Nissan,Cube,2893
17152,Mercedes-Benz,S-Class,985
17207,Subaru,Baja,2
17221,GMC,Sierra 2500,6391
17243,Isuzu,Ascender,2036
17246,Volkswagen,Passat,5165
17282,Chrysler,LeBaron,550
17283,Ford,Thunderbird,6564
17288,Bugatti,Veyron,6079
17291,Mercedes-Benz,E-Class,382
17291,Mercedes-Benz,G-Class,1450
17303,Nissan,Maxima,832
17337,Honda,Accord,5721
17341,Scion,xB,5005
17349,Ford,Econoline E350,3261
17367,GMC,Jimmy,1385
17374,Ford,F150,1612
17375,Chevrolet,Corvette,980
17377,Kia,Optima,1766
17383,Pontiac,Grand Prix,1300
17385,Hummer,H1,7445
17392,Mazda,B-Series,1018
17410,Hummer,H1,5224
17415,Volkswagen,riolet,3882
17440,Ford,Crown Victoria,1454
17463,Honda,Civic,7829
17466,Ford,Ranger,3295
17477,Pontiac,Bonneville,3960
17482,Ram,Dakota,6162
17496,Ford,Mustang,2374
17505,Ford,Aerostar,7210
17529,Nissan,Cube,67
17530,Ford,Bronco,7339
17534,BMW,X6,7548
17535,Hyundai,Sonata,1311
17557,Chevrolet,Express 3500,5814
17584,Ford,Flex,1667
17585,Mercedes-Benz,SL-Class,3778
17614,Suzuki,Vitara,775
17632,Toyota,Camry,4596
17635,Maybach,62,1546
17649,Volkswagen,Passat,4051
17652,Eagle,Talon,2870
17673,Chevrolet,Suburban 2500,2150
17679,Toyota,Land Cruiser,5304
17681,Ford,F350,6985
17708,Mercury,Mountaineer,4820
17730,GMC,Sierra 3500,5011
17751,GMC,Canyon,6926
17758,Volvo,V70,3259
17785,Ford,Taurus X,1616
17792,BMW,330,193
17793,Mitsubishi,Lancer,3784
17793,Geo,Metro,7967
17794,Chevrolet,Astro,3930
17832,Infiniti,JX,2441
17832,Suzuki,Sidekick,4828
17834,Chevrolet,S10,3852
17842,Ford,Flex,5811
17860,Dodge,D150,6907
17905,Rolls-Royce,Phantom,7455
17931,Mazda,Miata MX-5,4016
17967,Ford,Ranger,6924
17977,Pontiac,Sunbird,5446
17979,Chevrolet,Express,1814
17983,Ford,F-Series,6313
17986,Dodge,Viper,3898
18012,Isuzu,Trooper,2019
18013,Mercury,Tracer,1797
18013,Maserati,Karif,4695
18040,Mazda,CX-7,5926
18046,Lexus,IS,2827
18053,Pontiac,GTO,299
18054,Jaguar,XK,3517
18063,Lincoln,Zephyr,1956
18066,Mercedes-Benz,SL-Class,6932
18071,Jeep,Liberty,1165
18075,Maserati,Spyder,1605
18077,Pontiac,Grand Am,7371
18095,Acura,TL,5098
18095,GMC,Sonoma,6268
18111,Nissan,Quest,3953
18111,Saab,9-7X,4022
18120,Toyota,Camry,4049
18131,Pontiac,Sunbird,2647
18135,Toyota,4Runner,4621
18138,Isuzu,Hombre Space,7977
18144,Subaru,Legacy,7835
18151,Audi,S5,3317
18176,Dodge,Durango,5702
18185,Toyota,Tundra,6228
18191,GMC,3500 Club Coupe,357
18245,Dodge,Avenger,5031
18251,GMC,1500 Club Coupe,100
18278,Chevrolet,Impala,6504
18287,Audi,S5,5909
18292,Mitsubishi,Excel,48
18294,Maybach,62,154
18300,Spyker,C8 Spyder,5859
18322,Lincoln,Continental Mark VII,2803
18323,Ford,Freestyle,3325
18323,Mercury,Sable,5631
18333,Ford,Escape,714
18360,Toyota,Paseo,6466
18386,Audi,A6,5095
18396,Kia,Rio,7693
18437,Ford,Taurus,7263
18453,Cadillac,SRX,92
18469,Oldsmobile,Cutlass,5777
18475,Hyundai,Equus,874
18488,Chevrolet,Prizm,5262
18504,Mazda,Familia,4552
18513,Mercury,Capri,4248
18536,BMW,1 Series,7527
18558,Chevrolet,Caprice Classic,3696
18560,Volkswagen,Eos,4474
18561,Porsche,944,5176
18588,Lamborghini,Murciélago,4365
18614,Ford,Crown Victoria,2053
18617,BMW,7 Series,1752
18645,Mitsubishi,Lancer Evolution,1056
18647,Chevrolet,Impala,7768
18657,Ford,F150,3368
18658,GMC,Sierra,1677
18663,Dodge,D250 Club,4325
18666,Mercedes-Benz,W201,1573
18668,Toyota,Avalon,4114
18681,Infiniti,G37,4300
18689,Audi,80,7729
18696,Volkswagen,Jetta,7095
18742,Oldsmobile,Aurora,1351
18744,GMC,Yukon XL 2500,5692
18775,Honda,Odyssey,7182
18777,Nissan,Maxima,4019
18780,Kia,Spectra,4039
18802,Chevrolet,Express 1500,2811
18819,Land Rover,Range Rover,200
18825,Nissan,Frontier,6766
18838,Lincoln,Navigator L,1301
18838,Oldsmobile,Bravada,5890
18843,Ford,Explorer,3463
18847,Cadillac,Escalade EXT,1313
18859,Ford,E350,2471
18877,Mercedes-Benz,SL-Class,398
18878,Honda,Prelude,3535
18886,Lexus,LS,2876
18889,Audi,A8,6040
18904,Mercury,Milan,7907
18912,Mitsubishi,Pajero,6891
18912,Toyota,Camry,7248
18947,Subaru,Forester,2581
18966,Ford,Flex,5377
18970,GMC,Savana 1500,7504
18988,Mazda,CX-5,4934
19010,Nissan,240SX,5381
19012,Porsche,944,7333
19026,Ford,Expedition,1279
19027,Ford,Expedition EL,2545
19042,Mercedes-Benz,C-Class,1565
19052,Infiniti,M,5257
19055,Infiniti,Q,1559
19056,Infiniti,EX,5968
19061,Lotus,Esprit,4441
19063,Toyota,T100,4826
19071,Dodge,Stratus,343
19098,Dodge,Ram 3500,3562
19104,Aston Martin,V8 Vantage,2055
19131,Dodge,Durango,425
19134,Mercury,Mystique,4116
19153,Audi,riolet,994
19199,Buick,Regal,5525
19202,MINI,Cooper Clubman,2988
19204,Honda,Civic,5851
19246,Chevrolet,3500,5858
19251,Chrysler,Crossfire Roadster,392
19252,Chevrolet,Camaro,7050
19256,Lincoln,Navigator L,5623
19258,Chevrolet,Camaro,4752
19258,Mitsubishi,Eclipse,7310
19272,Dodge,Ram Wagon B350,6057
19278,Ford,Escort,5125
19281,Maserati,Spyder,2444
19311,Pontiac,Grand Am,263
19317,Mitsubishi,Montero Sport,3572
19323,Lexus,LS,5563
19331,Volvo,C30,7379
19352,Toyota,Camry Hybrid,525
19371,Plymouth,Colt Vista,4894
19380,Volvo,XC60,4661
19396,Mercedes-Benz,M-Class,3217
19413,Suzuki,Swift,551
19415,Acura,TL,2209
19420,Nissan,Quest,4768
19433,Mitsubishi,Galant,4372
19435,Kia,Sportage,6323
19455,Buick,Park Avenue,1604
19457,Ford,Taurus,2785
19471,Bentley,Continental GT,6126
19480,Chevrolet,Blazer,1439
19520,Ford,F-Series,5077
19524,Infiniti,I,3671
19532,Ford,E-Series,4411
19540,Lotus,Esprit,4988
19552,Volvo,S40,7737
19568,Nissan,Altima,7077
19575,Aston Martin,V8 Vantage,7713
19577,Jaguar,X-Type,14
19602,Ford,EXP,5991
19612,Hyundai,Genesis Coupe,3677
19615,Lincoln,Continental,7925
19650,Ferrari,612 Scaglietti,5195
19654,Ford,F250,3586
19663,Bentley,Continental Flying Spur,3219
19680,Toyota,Land Cruiser,7816
19701,Porsche,911,1324
19733,Infiniti,M,5649
19737,Jaguar,XJ Series,899
19758,Mercedes-Benz,SLK-Class,2627
19771,Ford,E350,1848
19776,Aston Martin,DB9,4536
19784,Chevrolet,Sportvan G30,5470
19818,Ford,Mustang,5080
19851,Chevrolet,Venture,1987
19875,Dodge,Ram Wagon B350,5141
19912,Honda,Accord,3763
19920,Cadillac,Eldorado,3307
19932,Mitsubishi,Mighty Max Macro,5152
19939,Ford,Econoline E150,6402
19950,Chevrolet,Lumina,2662
19950,Acura,TSX,4961
19961,Mazda,Miata MX-5,2994
19973,Porsche,911,5046
