integer-1,decimal-1,decimal-1,decimal-1
6967,22.00,41227.12,0.02
6972,17.00,31942.49,0.07
6978,16.00,30159.52,0.04
7070,29.00,28335.03,0.07
7097,15.00,15061.35,0.05
7162,12.00,12829.92,0.06
7214,30.00,33636.30,0.00
7215,14.00,15710.94,0.02
7274,17.00,20081.59,0.10
7286,20.00,23865.60,0.04
7356,28.00,35373.80,0.03
7418,6.00,7952.46,0.01
7446,4.00,5413.76,0.00
7469,4.00,5505.84,0.02
7640,20.00,30952.80,0.08
7795,27.00,45975.33,0.08
7847,3.00,5264.52,0.08
7865,19.00,33684.34,0.06
7867,7.00,12424.02,0.08
7935,13.00,23958.09,0.00
7971,21.00,39458.37,0.01
7983,25.00,47274.50,0.08
7990,11.00,20877.89,0.06
8007,23.00,21045.00,0.07
8044,9.00,8568.36,0.03
8051,10.00,9590.50,0.06
8051,8.00,7672.40,0.09
8207,22.00,24534.40,0.04
8322,23.00,28297.36,0.03
8347,30.00,37660.20,0.05
8384,2.00,2584.76,0.06
8469,20.00,27549.20,0.03
8472,23.00,31750.81,0.03
8483,5.00,6957.40,0.08
8614,1.00,1522.61,0.07
8683,1.00,1591.68,0.10
8729,9.00,14739.48,0.03
8832,1.00,1740.83,0.08
8836,1.00,1744.83,0.10
8856,15.00,26472.75,0.00
8902,8.00,14487.20,0.04
8937,27.00,49840.11,0.07
9034,30.00,28290.90,0.03
9047,18.00,17208.72,0.09
9113,11.00,11243.21,0.07
9130,10.00,10391.30,0.02
9135,26.00,27147.38,0.04
9159,12.00,12817.80,0.05
9159,5.00,5340.75,0.06
9162,5.00,5355.80,0.01
9234,20.00,22864.60,0.03
9260,20.00,23385.20,0.08
9276,4.00,4741.08,0.00
9281,19.00,22615.32,0.07
9290,4.00,4797.16,0.05
9350,17.00,21408.95,0.04
9352,14.00,17658.90,0.07
9409,17.00,22412.80,0.10
9443,26.00,35163.44,0.09
9462,23.00,31543.58,0.00
9540,24.00,34788.96,0.04
9551,12.00,17526.60,0.04
9658,22.00,34488.30,0.10
9666,1.00,1575.66,0.10
9693,9.00,14424.21,0.02
9717,29.00,47174.59,0.01
9726,25.00,40893.00,0.02
9750,2.00,3319.50,0.04
9849,17.00,29900.28,0.09
9920,26.00,47577.92,0.05
9942,29.00,53706.26,0.09
9968,11.00,20657.56,0.10
9969,19.00,35700.24,0.01
10086,13.00,12949.04,0.08
10155,15.00,15977.25,0.04
10178,4.00,4352.68,0.04
10212,29.00,32544.09,0.07
10240,23.00,26455.52,0.09
10244,15.00,17313.60,0.02
10278,10.00,11882.70,0.00
10343,9.00,11280.06,0.06
10470,10.00,13804.70,0.00
10492,19.00,26647.31,0.03
10528,9.00,12946.68,0.10
10544,6.00,8727.24,0.04
10561,23.00,33845.88,0.05
10621,8.00,12252.96,0.10
10625,17.00,26105.54,0.06
10661,12.00,18859.92,0.10
10700,1.00,1610.70,0.07
10757,3.00,5003.25,0.07
10764,8.00,13398.08,0.02
10813,4.00,6895.24,0.08
10821,26.00,45027.32,0.02
10835,6.00,10474.98,0.06
10859,9.00,15928.65,0.06
10890,27.00,48624.03,0.10
10893,14.00,25254.46,0.03
10901,5.00,9059.50,0.07
10905,22.00,39949.80,0.03
10916,20.00,36538.20,0.04
10973,4.00,7535.88,0.08
10976,19.00,35852.43,0.09
10995,1.00,1905.99,0.10
11081,9.00,8928.72,0.06
11152,3.00,3189.45,0.10
11194,21.00,23208.99,0.00
11245,1.00,1156.24,0.07
11253,7.00,8149.75,0.02
11297,9.00,10874.61,0.01
11336,9.00,11225.97,0.10
11356,21.00,26614.35,0.03
11450,9.00,12253.05,0.07
11457,6.00,8210.70,0.10
11504,25.00,35387.50,0.02
11582,21.00,31365.18,0.06
11591,17.00,25544.03,0.10
11592,7.00,10525.13,0.03
11605,23.00,34881.80,0.07
11635,12.00,18559.56,0.03
11697,9.00,14478.21,0.05
11754,18.00,29983.50,0.04
11768,4.00,6719.04,0.00
11770,8.00,13454.16,0.06
11773,4.00,6739.08,0.06
11823,8.00,13878.56,0.08
11877,12.00,21466.44,0.07
11923,15.00,27523.80,0.03
11934,14.00,25843.02,0.02
11937,18.00,33280.74,0.02
11938,30.00,55497.90,0.03
11944,6.00,11135.64,0.00
11949,25.00,46523.50,0.00
11955,14.00,26137.30,0.00
12020,21.00,19572.42,0.04
12021,10.00,9330.20,0.01
12062,1.00,974.06,0.04
12107,16.00,16305.60,0.07
12171,14.00,15164.38,0.09
12262,6.00,7045.56,0.04
12271,9.00,10649.43,0.03
12276,28.00,33271.56,0.01
12291,2.00,2406.58,0.00
12305,2.00,2434.60,0.01
12371,24.00,30800.88,0.03
12429,9.00,12072.78,0.05
12520,18.00,25785.36,0.01
12570,8.00,11860.56,0.10
12688,20.00,32013.60,0.01
12743,18.00,29803.32,0.06
12748,8.00,13285.92,0.00
12795,28.00,47818.12,0.04
12934,10.00,18469.30,0.04
12936,18.00,33280.74,0.09
13010,12.00,11076.12,0.05
13037,1.00,950.03,0.10
13042,29.00,27696.16,0.02
13077,25.00,24751.75,0.04
13100,18.00,18235.80,0.01
13172,20.00,21703.40,0.06
13174,6.00,6523.02,0.02
13181,3.00,3282.54,0.07
13220,14.00,15865.08,0.02
13240,27.00,31137.48,0.01
13345,20.00,25166.80,0.08
13363,28.00,35738.08,0.05
13471,25.00,34611.75,0.02
13488,24.00,33635.52,0.03
13503,15.00,21247.50,0.09
13547,17.00,24829.18,0.06
13549,23.00,33638.42,0.09
13582,27.00,40380.66,0.06
13591,18.00,27082.62,0.04
13683,9.00,14370.12,0.05
13694,10.00,16076.90,0.10
13708,18.00,29190.60,0.02
13708,9.00,14595.30,0.09
13709,29.00,47058.30,0.09
13731,8.00,13157.84,0.01
13749,7.00,11639.18,0.04
13758,9.00,15045.75,0.01
13965,15.00,28184.40,0.04
13970,20.00,37679.40,0.06
14035,17.00,16133.51,0.07
14164,2.00,2156.32,0.01
14168,6.00,6492.96,0.06
14174,29.00,31556.93,0.08
14201,4.00,4460.80,0.08
14206,10.00,11202.00,0.09
14215,27.00,30488.67,0.04
14223,2.00,2274.44,0.05
14226,18.00,20523.96,0.07
14256,18.00,21064.50,0.00
14274,3.00,3564.81,0.03
14359,18.00,22920.30,0.03
14398,26.00,34122.14,0.02
14485,21.00,29389.08,0.04
14514,4.00,5714.04,0.09
14522,29.00,41659.08,0.08
14540,21.00,30545.34,0.04
14616,29.00,44387.69,0.08
14719,16.00,26139.36,0.03
14724,6.00,9832.32,0.03
14733,1.00,1647.73,0.02
14773,9.00,15189.93,0.03
14779,29.00,49119.33,0.09
14891,22.00,39729.58,0.09
14912,22.00,40192.02,0.06
14962,25.00,46924.00,0.00
14983,18.00,34163.64,0.09
15070,14.00,13790.98,0.09
15102,11.00,11188.10,0.00
15179,13.00,14224.21,0.08
15191,25.00,27654.75,0.02
15195,17.00,18873.23,0.06
15386,14.00,18219.32,0.07
15406,30.00,39642.00,0.08
15465,10.00,13804.60,0.06
15476,10.00,13914.70,0.08
15493,30.00,42254.70,0.04
15498,15.00,21202.35,0.03
15511,11.00,15691.61,0.07
15532,11.00,15922.83,0.06
15532,27.00,39083.31,0.10
15603,25.00,37965.00,0.00
15619,11.00,16880.71,0.06
15622,4.00,6150.48,0.00
15689,1.00,1604.68,0.06
15875,3.00,5372.61,0.05
15921,27.00,49596.84,0.01
15973,2.00,3777.94,0.00
15998,1.00,1913.99,0.03
16026,15.00,14130.30,0.06
16042,26.00,24909.04,0.01
16051,17.00,16439.85,0.07
16105,30.00,30633.00,0.04
16126,5.00,5210.60,0.01
16138,18.00,18974.34,0.08
16155,7.00,7498.05,0.01
16264,27.00,31867.02,0.04
16273,13.00,15460.51,0.08
16353,30.00,38080.50,0.05
16382,23.00,29862.74,0.03
16494,8.00,11283.92,0.10
16588,30.00,45137.40,0.07
16661,20.00,31553.20,0.05
16695,23.00,37068.87,0.06
16854,26.00,46042.10,0.07
16855,28.00,49611.80,0.08
16870,12.00,21442.44,0.06
16901,16.00,29086.40,0.01
16981,5.00,9489.90,0.05
17042,24.00,23016.96,0.07
17045,24.00,23088.96,0.03
17059,24.00,23425.20,0.03
17061,11.00,10758.66,0.09
17063,12.00,11760.72,0.00
17150,29.00,30947.35,0.05
17263,14.00,16523.64,0.01
17476,5.00,6967.35,0.06
17492,24.00,33827.76,0.03
17511,28.00,39998.28,0.09
17540,19.00,27693.26,0.07
17619,22.00,33805.42,0.03
17620,16.00,24601.92,0.06
17652,21.00,32962.65,0.10
17661,2.00,3157.32,0.05
17692,19.00,30584.11,0.04
17726,4.00,6574.88,0.06
17742,7.00,11618.18,0.09
17838,28.00,49163.24,0.10
17858,18.00,31965.30,0.08
17984,23.00,43745.54,0.09
17997,30.00,57449.70,0.01
18047,5.00,4825.20,0.06
18061,28.00,27413.68,0.01
18153,4.00,4284.60,0.08
18273,26.00,30973.02,0.08
18314,23.00,28343.13,0.06
18325,10.00,12433.20,0.06
18341,2.00,2518.68,0.04
18351,3.00,3808.05,0.00
18467,9.00,12469.14,0.01
18476,23.00,32072.81,0.01
18523,6.00,8649.12,0.04
18586,4.00,6018.32,0.03
18600,24.00,36446.40,0.01
18635,19.00,29518.97,0.05
18718,4.00,6546.84,0.03
18796,26.00,44584.54,0.03
18805,13.00,22409.40,0.09
18811,2.00,3459.62,0.06
18830,29.00,50716.07,0.06
18831,6.00,10498.98,0.05
18837,6.00,10534.98,0.05
18947,12.00,22391.28,0.04
18986,21.00,40004.58,0.10
18990,19.00,36270.81,0.04
19004,30.00,27690.00,0.08
19004,10.00,9230.00,0.07
19012,25.00,23275.25,0.01
19067,26.00,25637.56,0.00
19090,28.00,28254.52,0.05
19137,13.00,13729.69,0.08
19190,21.00,23292.99,0.04
19217,3.00,3408.63,0.05
19263,3.00,3546.78,0.04
19296,29.00,35243.41,0.01
19304,4.00,4893.20,0.04
19332,27.00,33785.91,0.01
19340,12.00,15112.08,0.06
19360,4.00,5117.44,0.04
19387,24.00,31353.12,0.01
19392,20.00,26227.80,0.09
19400,16.00,21110.40,0.07
19452,13.00,17828.85,0.10
19480,20.00,27989.60,0.08
19553,26.00,38286.30,0.03
19593,3.00,4537.77,0.06
19605,13.00,19819.80,0.02
19639,19.00,29613.97,0.04
19642,11.00,17178.04,0.01
19803,12.00,20673.60,0.00
19806,15.00,25887.00,0.03
19897,18.00,32704.02,0.02
19918,20.00,36758.20,0.07
19929,2.00,3697.84,0.02
104,8.00,8032.80,0.03
191,2.00,2182.38,0.10
219,12.00,13430.52,0.09
220,18.00,20163.96,0.08
301,15.00,18019.50,0.02
327,30.00,36819.60,0.06
333,28.00,34533.24,0.07
345,14.00,17434.76,0.02
396,1.00,1296.39,0.00
396,15.00,19445.85,0.07
416,1.00,1316.41,0.08
449,30.00,40483.20,0.10
456,28.00,37980.60,0.03
521,17.00,24165.84,0.10
523,2.00,2847.04,0.05
577,10.00,14775.70,0.02
608,24.00,36206.40,0.07
710,13.00,20939.23,0.07
721,5.00,8108.60,0.03
729,12.00,19556.64,0.01
791,8.00,13534.32,0.07
802,5.00,8514.00,0.09
958,7.00,13012.65,0.04
980,8.00,15047.84,0.06
1010,13.00,11843.13,0.07
1143,27.00,28191.78,0.03
1193,18.00,19695.42,0.01
1261,2.00,2324.52,0.02
1312,4.00,4853.24,0.07
1339,9.00,11162.97,0.03
1364,10.00,12653.60,0.07
1473,24.00,32987.28,0.10
1549,10.00,14505.40,0.09
1583,26.00,38599.08,0.00
1583,23.00,34145.34,0.04
1696,26.00,41539.94,0.03
1722,9.00,14613.48,0.04
1749,22.00,36316.28,0.10
1774,6.00,10054.62,0.00
1794,27.00,45786.33,0.01
1834,27.00,46867.41,0.05
1878,15.00,26698.05,0.04
1921,15.00,27343.80,0.00
2035,8.00,7496.24,0.07
2035,18.00,16866.54,0.01
2088,16.00,15841.28,0.10
2118,23.00,23462.53,0.00
2154,11.00,11617.65,0.02
2178,19.00,20523.23,0.06
2197,21.00,23082.99,0.02
2215,3.00,3351.63,0.01
2268,2.00,2340.52,0.00
2278,24.00,28326.48,0.07
2322,17.00,20813.44,0.01
2336,19.00,23528.27,0.01
2339,14.00,17378.62,0.08
2342,14.00,17420.76,0.01
2356,19.00,23908.65,0.06
2365,1.00,1267.36,0.09
2383,26.00,33419.88,0.09
2425,10.00,13274.20,0.04
2477,10.00,13794.70,0.02
2477,3.00,4138.41,0.10
2549,12.00,17418.48,0.00
2563,22.00,32242.32,0.06
2568,26.00,38234.56,0.04
2596,11.00,16484.49,0.02
2620,18.00,27407.16,0.09
2705,29.00,46623.30,0.01
2721,10.00,16237.20,0.00
2735,30.00,49131.90,0.08
2779,17.00,28590.09,0.03
2780,14.00,23558.92,0.07
2892,6.00,10769.34,0.09
2893,30.00,53876.70,0.00
2922,10.00,18249.20,0.03
2922,2.00,3649.84,0.06
2979,15.00,28229.55,0.04
2984,11.00,20756.78,0.03
2987,12.00,22679.76,0.08
3014,5.00,4585.05,0.07
3045,30.00,28441.20,0.09
3047,22.00,20900.88,0.10
3096,15.00,14986.35,0.10
3103,26.00,26158.60,0.09
3105,6.00,6048.60,0.07
3132,23.00,23807.99,0.04
3156,30.00,31774.50,0.02
3228,16.00,18099.52,0.04
3242,6.00,6871.44,0.04
3263,6.00,6997.56,0.02
3271,17.00,19962.59,0.03
3420,12.00,15881.04,0.02
3537,2.00,2881.06,0.04
3550,24.00,34885.20,0.06
3571,27.00,39813.39,0.07
3594,8.00,11980.72,0.03
3597,1.00,1500.59,0.07
3604,13.00,19598.80,0.08
3614,1.00,1517.61,0.03
3633,8.00,12293.04,0.07
3659,19.00,29690.35,0.07
3684,3.00,4763.04,0.00
3731,22.00,35964.06,0.10
3825,7.00,12101.74,0.01
3856,21.00,36956.85,0.03
3861,7.00,12354.02,0.00
3914,14.00,25450.74,0.03
3918,14.00,25506.74,0.07
3948,25.00,46298.50,0.06
3981,21.00,39584.58,0.01
3983,27.00,50948.46,0.05
3986,8.00,15119.84,0.01
3990,5.00,9469.95,0.03
3995,4.00,7595.96,0.06
3999,17.00,32350.83,0.06
4123,8.00,8216.96,0.01
4305,23.00,27813.90,0.00
4312,29.00,35272.99,0.09
4409,24.00,31521.60,0.05
4460,25.00,34111.50,0.01
4474,29.00,39975.63,0.01
4477,12.00,16577.64,0.08
4512,6.00,8499.06,0.03
4555,11.00,16055.05,0.10
4596,14.00,21008.26,0.01
4650,8.00,12437.20,0.07
4729,30.00,49011.60,0.08
4738,24.00,39425.52,0.04
4767,9.00,15045.84,0.05
4809,4.00,6855.20,0.08
4829,12.00,20805.84,0.09
4839,1.00,1743.83,0.09
4842,21.00,36683.64,0.07
4852,25.00,43921.25,0.01
4943,5.00,9239.70,0.03
4997,27.00,51353.73,0.09
5022,27.00,25029.54,0.09
5032,6.00,5622.18,0.07
5115,10.00,10201.10,0.04
5125,29.00,29873.48,0.07
5128,26.00,26861.12,0.08
5141,13.00,13599.82,0.05
5284,18.00,21407.04,0.06
5303,12.00,14499.60,0.06
5320,28.00,34308.96,0.01
5331,15.00,18544.95,0.01
5375,2.00,2560.74,0.09
5464,12.00,16433.52,0.05
5528,22.00,31537.44,0.00
5572,6.00,8865.42,0.10
5628,1.00,1533.62,0.01
5672,8.00,12621.36,0.00
5749,17.00,28130.58,0.06
5859,3.00,5294.55,0.08
5863,16.00,28301.76,0.00
5881,21.00,37524.48,0.00
5936,11.00,20261.23,0.03
5952,21.00,39016.95,0.01
6000,6.00,5436.00,0.10
6004,6.00,5460.00,0.09
6011,28.00,25676.28,0.09
6022,28.00,25984.56,0.08
6054,2.00,1920.10,0.06
6116,7.00,7154.77,0.02
6142,3.00,3144.42,0.07
6166,29.00,31092.64,0.00
6178,8.00,8673.36,0.05
6282,29.00,34460.12,0.09
6285,25.00,29782.00,0.03
6321,19.00,23319.08,0.09
6341,17.00,21204.78,0.09
6344,26.00,32508.84,0.00
6346,18.00,22542.12,0.07
6346,16.00,20037.44,0.09
6362,1.00,1268.36,0.10
6396,24.00,31257.36,0.03
6488,13.00,18128.24,0.10
6533,23.00,33109.19,0.07
6611,20.00,30352.20,0.10
6676,3.00,4748.01,0.04
6742,11.00,18136.14,0.02
6788,13.00,22032.14,0.07
6837,13.00,22669.79,0.04
6841,18.00,31461.12,0.06
6868,24.00,42596.64,0.02
6940,16.00,29551.04,0.03
7005,1.00,912.00,0.10
7014,29.00,26709.29,0.10
7070,11.00,10747.77,0.02
7099,6.00,6036.54,0.10
7116,7.00,7161.77,0.08
7116,19.00,19439.09,0.05
7134,16.00,16658.08,0.05
7388,3.00,3886.14,0.03
7418,22.00,29159.02,0.05
7434,17.00,22804.31,0.03
7500,24.00,33780.00,0.04
7505,29.00,40962.50,0.10
7514,5.00,7107.55,0.02
7542,6.00,8697.24,0.05
7610,17.00,25799.37,0.03
7630,8.00,12301.04,0.08
7769,10.00,16767.60,0.07
7850,9.00,15820.65,0.02
7872,23.00,40937.01,0.07
7924,16.00,29310.72,0.09
8006,1.00,914.00,0.08
8015,13.00,11999.13,0.09
8059,28.00,27077.40,0.00
8067,24.00,23401.44,0.03
8112,21.00,21422.31,0.03
8169,14.00,15080.24,0.01
8194,9.00,9919.71,0.10
8286,14.00,16719.92,0.07
8294,11.00,13225.19,0.08
8473,6.00,8288.82,0.05
8483,13.00,18089.24,0.07
8605,1.00,1513.60,0.05
8627,27.00,41461.74,0.03
8642,24.00,37215.36,0.06
8663,8.00,12573.28,0.04
8673,4.00,6326.68,0.10
8747,10.00,16557.40,0.05
8790,21.00,35674.59,0.08
8839,29.00,50687.07,0.07
8913,18.00,32794.38,0.05
8967,18.00,33767.28,0.07
8974,21.00,39542.37,0.07
9165,9.00,9667.44,0.06
9174,23.00,24912.91,0.00
9242,7.00,8058.68,0.09
9257,28.00,32655.00,0.06
9271,26.00,30687.02,0.10
9314,1.00,1223.31,0.01
9321,12.00,14763.84,0.01
9408,4.00,5269.60,0.00
9432,19.00,25487.17,0.02
9501,9.00,12694.50,0.10
9556,22.00,32242.10,0.01
9604,11.00,16649.60,0.06
9610,21.00,31911.81,0.02
9621,21.00,32143.02,0.09
9657,5.00,7833.25,0.05
9678,22.00,34928.74,0.02
9759,13.00,21693.75,0.03
9770,1.00,1679.77,0.00
9888,23.00,41351.24,0.02
9896,26.00,46953.14,0.00
9902,18.00,32614.20,0.07
9906,15.00,27238.50,0.05
9930,22.00,40478.46,0.05
9956,24.00,44782.80,0.05
9959,2.00,3737.90,0.02
10010,23.00,21160.23,0.00
10048,12.00,11496.48,0.02
10054,1.00,964.05,0.04
10103,7.00,7091.70,0.00
10109,20.00,20382.00,0.10
10262,4.00,4689.04,0.05
10270,4.00,4721.08,0.08
10279,3.00,3567.81,0.07
10336,29.00,36143.57,0.02
10388,25.00,32459.50,0.00
10393,10.00,13033.90,0.01
10420,12.00,15965.04,0.07
10533,17.00,24540.01,0.07
10547,22.00,32065.88,0.10
10655,26.00,40706.90,0.08
10797,4.00,6831.16,0.01
10821,17.00,29440.94,0.10
10877,6.00,10727.22,0.07
10901,6.00,10871.40,0.00
10907,17.00,30904.30,0.04
10947,20.00,37158.80,0.02
10961,10.00,18719.60,0.07
10970,17.00,31976.49,0.01
11036,18.00,17046.54,0.06
11042,12.00,11436.48,0.01
11070,10.00,9810.70,0.06
11154,10.00,10651.50,0.09
11183,6.00,6565.08,0.10
11350,28.00,35317.80,0.07
11389,10.00,13003.80,0.07
11417,4.00,5313.64,0.10
11431,1.00,1342.43,0.02
11468,4.00,5517.84,0.01
11535,13.00,18804.89,0.09
11620,26.00,39822.12,0.05
11643,18.00,27983.52,0.09
11715,18.00,29280.78,0.09
11825,26.00,45157.32,0.00
11849,15.00,26412.60,0.07
11884,24.00,43101.12,0.08
11959,10.00,18709.50,0.03
12060,29.00,28189.74,0.07
12084,10.00,9960.80,0.10
12120,26.00,26835.12,0.03
12196,12.00,13298.28,0.06
12197,12.00,13310.28,0.05
12204,22.00,24556.40,0.08
12242,24.00,27701.76,0.04
12295,18.00,21731.22,0.10
12301,4.00,4853.20,0.04
12351,10.00,12633.50,0.06
12355,5.00,6336.75,0.08
12359,25.00,31783.75,0.06
12363,22.00,28057.92,0.02
12380,3.00,3877.14,0.08
12406,11.00,14502.40,0.08
12417,11.00,14623.51,0.04
12431,23.00,30898.89,0.06
12446,9.00,12225.96,0.03
12469,8.00,11051.68,0.04
12479,30.00,41744.10,0.10
12554,24.00,35197.20,0.03
12566,15.00,22178.40,0.01
12567,5.00,7397.80,0.10
12649,15.00,23424.60,0.10
12704,19.00,30717.30,0.05
12724,26.00,42554.72,0.08
12779,22.00,37218.94,0.07
12788,21.00,35716.38,0.08
12854,10.00,17668.50,0.04
12925,27.00,49623.84,0.10
12932,16.00,29518.88,0.02
12934,16.00,29550.88,0.04
12979,14.00,26487.58,0.00
12983,30.00,56879.40,0.00
13013,1.00,926.01,0.09
13015,19.00,17632.19,0.07
13116,23.00,23669.53,0.00
13234,25.00,28680.75,0.04
13252,4.00,4661.00,0.03
13284,18.00,21551.04,0.09
13310,6.00,7339.86,0.00
13429,3.00,4027.26,0.06
13440,7.00,9474.08,0.08
13465,19.00,26190.74,0.07
13472,7.00,9698.29,0.10
13482,25.00,34887.00,0.03
13505,20.00,28370.00,0.09
13515,22.00,31427.22,0.07
13521,9.00,12910.68,0.08
13570,22.00,32638.54,0.01
13636,25.00,38740.75,0.06
13660,17.00,26752.22,0.04
13675,30.00,47660.10,0.09
13793,20.00,34135.80,0.03
13934,28.00,51742.04,0.03
13982,1.00,1895.98,0.09
13986,29.00,55099.42,0.10
14010,18.00,16632.18,0.04
14022,14.00,13104.28,0.05
14056,9.00,8730.45,0.05
14091,23.00,23117.07,0.03
14129,1.00,1043.12,0.09
14134,8.00,8385.04,0.02
14169,26.00,28162.16,0.08
14197,19.00,21112.61,0.00
14202,5.00,5581.00,0.08
14212,15.00,16893.15,0.05
14247,19.00,22063.56,0.09
